# InitialCells = 3375
# Day	N	MeanArea	StdArea	MeanGrayMean	StdGrayMean	MeanGrayStdDev	StdGrayStdDev	MeanGrayMode	StdGrayMode	MeanGrayMin	StdGrayMin	MeanGrayMax	StdGrayMax	MeanCentroidX	StdCentroidX	MeanCentroidY	StdCentroidY	MeanCenterMassX	StdCenterMassX	MeanCenterMassY	StdCenterMassY	MeanPerimeter	StdPerimeter	MeanWidth	StdWidth	MeanHeight	StdHeight	MeanMajor	StdMajor	MeanMinor	StdMinor	MeanAngle	StdAngle	MeanCircularity	StdCircularity	MeanFeret	StdFeret	MeanIntDen	StdIntDen	MeanMedian	StdMedian	MeanSkew	StdSkew	MeanKurt	StdKurt	MeanRawIntDen	StdRawIntDen	MeanMinFeret	StdMinFeret	MeanAspectRatio	StdAspectRatio	MeanRound	StdRound	MeanSolidity	StdSolidity	MeanRadius	StdRadius	MeanEllipseArea	StdEllipseArea	MeanCircularity_calc	StdCircularity_calc	MeanIntDen_calc	StdIntDen_calc
1	17	299176	45510.1	124.941	8.29775	14.3738	2.28636	120.706	7.44786	85.7647	6.00551	202.059	19.2629	543.9	39.0897	560.012	50.4151	545.159	40.1062	561.053	50.8316	2073	139.116	628.647	45.6906	644.065	57.1088	652.929	45.6537	580.829	56.5089	83.4726	50.2165	0.870629	0.0571214	681.929	44.073	3.76388e+07	7.41689e+06	123.059	8.02707	0.723729	0.305858	1.57469	0.802453	7.50118e+06	1.47821e+06	587.771	55.8541	1.12929	0.082574	0.889588	0.0611271	0.968965	0.0161365	307.731	23.7796	299180	45509.5	0.870649	0.0571239	3.76383e+07	7.41906e+06
2	34	250800	52550.3	77.8109	10.3525	13.4632	1.79436	70.7353	14.2304	47.2941	8.15579	150.559	10.8856	579.441	50.3192	584.879	103.785	581.288	51.07	587.797	103.369	1879.71	184.626	581.085	66.9874	591.365	74.3297	610.226	60.9677	519.741	75.7104	96.4288	46.8263	0.881668	0.0529361	631.047	63.2546	1.91085e+07	2.75275e+06	76.0588	10.64	0.799124	0.249439	1.22607	0.651483	3.80838e+06	548499	526.512	73.4406	1.19359	0.187565	0.854312	0.109987	0.973112	0.0134934	280.957	30.3729	250801	52544.3	0.881641	0.0528871	1.91082e+07	2.75301e+06
3	33	247612	32105.8	68.703	5.49419	13.83	1.54769	59.0606	8.49242	39.5758	4.28683	143.485	15.8156	544.103	85.2977	630.458	85.2282	543.148	86.5818	634.312	85.0756	1867.91	143.883	585.4	49.3232	572.424	65.5759	617.912	57.9626	509.373	41.5908	77.6685	56.684	0.889924	0.0438106	634.273	59.8837	1.70127e+07	2.57508e+06	67.3636	5.62816	0.706485	0.191372	0.372435	0.684496	3.39061e+06	513332	515.385	39.4388	1.21915	0.138231	0.82967	0.0863118	0.979142	0.0107021	280.108	19.1855	247610	32098.5	0.889969	0.0438577	1.70129e+07	2.57627e+06
6	33	329985	47570.1	85.1052	6.22248	18.9988	1.56755	82.9697	14.3733	45.8788	5.28416	172.606	13.3626	581.858	73.5085	520.715	82.7823	584.258	76.0673	518.285	84.2541	2119.27	160.451	663.242	69.5867	660.121	60.417	690.585	59.2258	606.161	48.4264	80.4114	53.7576	0.919682	0.0378043	707.412	61.147	2.80764e+07	4.46802e+06	85.5455	5.87947	0.219953	0.200162	-0.208433	0.397775	5.59555e+06	890600	607.509	47.038	1.14227	0.0940224	0.880703	0.0659193	0.985152	0.00696402	323.258	23.6353	329988	47580.8	0.919646	0.0377616	2.80759e+07	4.46755e+06
7	33	351021	45965.2	86.3636	11.8083	20.2839	1.96194	77.9091	24.5221	44.8485	9.38457	181.091	21.252	562.594	79.3028	591.097	87.5478	561.5	81.7385	592.576	89.9279	2158.76	145.672	690.327	45.7227	671.794	62.5374	709.024	52.0373	628.488	48.4871	91.6376	59.8161	0.94297	0.0213106	720.767	51.9346	3.01709e+07	4.87678e+06	86.9394	12.0958	0.260447	0.162045	-0.16889	0.444965	6.01294e+06	972174	629.027	46.961	1.13112	0.0811629	0.888467	0.0636292	0.9915	0.00351559	333.563	22.0005	351019	45961.8	0.943005	0.0213165	3.01712e+07	4.87882e+06
10	33	309915	49378.9	71.6833	4.50211	17.8333	1.9725	53.7273	7.83531	39.0909	2.85442	162.303	13.8055	596.652	83.7277	611.642	97.3784	598.424	86.7948	612.555	99.4234	2037.48	172.685	652.912	73.5988	630.794	67.7926	684.891	71.3126	573.561	46.7964	89.5276	58.9289	0.932788	0.0199124	698.179	70.1773	2.22361e+07	3.86913e+06	70	5.57337	0.665348	0.316613	0.0921197	0.90328	4.43173e+06	770927	574.924	47.1619	1.19633	0.109579	0.842539	0.0753264	0.990403	0.00297011	313.066	25.6611	309924	49382.6	0.932738	0.0198803	2.22367e+07	3.86853e+06
13	35	346680	37582.8	78.6526	4.79295	22.8194	2.75177	52.6857	3.93903	40.6857	3.21551	178.6	18.046	554.926	76.0612	591.937	65.2508	559.166	75.9611	592.271	66.7322	2164.31	111.898	675.589	48.2269	674.949	63.734	721.831	43.4147	610.529	43.2694	96.286	53.3174	0.927366	0.0261813	734.034	39.4552	2.72703e+07	3.49542e+06	76.9143	6.08456	0.49601	0.200524	-0.482624	0.375658	5.435e+06	696727	610.146	43.6292	1.18637	0.0891898	0.8474	0.0615544	0.991706	0.00321695	331.712	18.1173	346670	37579.1	0.927433	0.0261907	2.72712e+07	3.49619e+06
17	39	359641	81376.6	64.1623	8.17519	17.571	2.78923	47.5897	6.80448	33.7436	5.8836	159.795	21.2134	556.144	90.1073	593.531	81.8062	560.572	90.4396	597.415	80.4891	2188.1	232.658	681.362	87.2566	693.082	75.0069	727.515	76.5158	623.331	76.8134	86.6385	48.8593	0.933403	0.0284082	739.918	78.7494	2.29087e+07	4.89636e+06	60.3333	8.01096	0.923297	0.314833	0.921869	1.26611	4.56569e+06	975995	625.751	78.8461	1.17326	0.0947908	0.857818	0.0702571	0.992787	0.00313521	336.446	36.2647	359634	81367.7	0.933406	0.0283534	2.29091e+07	4.89689e+06
21	27	296000	51420	80.3737	6.43682	19.4181	2.13828	62.8148	7.55002	47.8148	5.8246	189.63	24.5014	560.022	47.7267	531.719	59.2758	562.874	47.5056	536.981	60.0135	2002.37	175.141	637.663	72.1352	627.189	71.42	682.163	79.9992	550.548	48.4278	78.1161	50.2095	0.922226	0.0279996	692.448	74.8409	2.36852e+07	3.81486e+06	77	7.10363	0.9296	0.401084	0.997268	1.42189	4.72033e+06	760476	549.552	47.726	1.24474	0.166181	0.814381	0.087642	0.992407	0.00291599	305.897	25.9122	296001	51417.4	0.922194	0.0279612	2.36848e+07	3.81622e+06
