Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,95626.20131338439,False,210.71,228.22707887833548,27.8529,0.6289140045860743,151.518,114.27381718868016,18.2348,-2.042478272935258,21451200.0,18699541.186832767,6327230.0,-0.4348915422969029,520.894,461.8755824445187,89.3298,-0.6606800592353422,1624.18,1508.679606507424,280.56,-0.4116780492321642
2.0,97100.07480688494,False,224.329,233.36521715357873,24.2682,0.37234805851190933,101.551,110.07168376801998,6.49677,1.3115261534608704,16221800.0,18832055.84640064,3531320.0,0.7391728436960233,535.012,471.90678900754216,71.4755,-0.8828928932635349,1623.91,1556.3322991476678,186.905,-0.361561760532529
3.0,98833.22224884958,False,218.736,238.1082158926399,23.1753,0.8358992501775554,101.674,106.76957279859519,4.74277,1.074387498992189,15417600.0,19017180.98323601,3158180.0,1.1397643526448813,518.451,481.5818286331126,79.7047,-0.46257211139226956,1553.6,1580.15864546779,192.269,0.13813274874155496
6.0,105585.82456761274,False,301.335,252.38414831199887,25.9904,-1.8834204817163687,105.774,99.52860872018825,6.43757,-0.9701473195338856,30302800.0,19916909.713704426,4934700.0,-2.1046649819230296,690.544,508.39038994289746,88.8814,-2.0494007751577104,2094.62,1671.3760760033417,210.59,-2.0098006742801564
7.0,108236.971369902,False,296.632,257.12770966601795,48.6578,-0.8118799110108154,109.858,97.78394168396262,10.83,-1.1148714973257046,30364000.0,20310245.607685547,7143990.0,-1.407302416760725,672.591,518.3428350114299,111.91,-1.378323340081942,2032.0,1705.0716181110558,325.146,-1.0054817893775232
10.0,117377.6994622759,False,324.953,272.0254057372743,55.4303,-0.9548495004126926,95.308,93.69920926111561,11.4143,-0.14094519496459654,31545400.0,21782349.99928853,7798240.0,-1.251955569553062,719.543,548.3457739163462,117.266,-1.4599050541815517,2244.23,1810.2461991791367,380.863,-1.1394748264359187
13.0,128033.86017001625,False,342.637,287.2908483126552,42.4557,-1.303621226062573,86.8376,91.02537654900641,8.72977,0.47971212861351614,32171600.0,23602387.718531407,7030920.0,-1.2187896152236966,759.184,579.6129104110807,94.9866,-1.890488654072461,2388.36,1901.463629714688,292.961,-1.6619835755793844
17.0,144375.61729066775,False,299.149,308.4478173738303,43.0603,0.21594873639594417,78.9108,88.77123483415988,14.0016,0.7042362897211668,21980000.0,26532949.882126335,4956340.0,0.9186112902113929,662.696,621.2722658477654,75.4198,-0.5492421638911082,1959.31,2040.3337528904838,259.221,0.3125663155781508
21.0,163084.91058936244,False,306.178,330.26771588696624,32.3914,0.7437071533483038,85.0987,87.53038581037232,11.7664,0.20666353433270404,25164600.0,29994454.033744555,5449440.0,0.8863028189583801,685.329,665.5002854266833,86.3835,-0.22954284757293567,2003.12,2193.1610265988083,219.525,0.8656919558082607
