seed,error,success,message,iterations,function_evaluations,valid_fit,lambda_,delta,k_n,k_p,k_d,alpha,beta,R0,time_scale,pixel_scale,intensity_scale
3,53.676490989386195,False,Maximum number of iterations has been exceeded.,50,4740,True,7.27436059729688,0.0028885106235916405,0.34349330541351925,0.27682994492515706,0.17338349341810294,6.548445518818127,1.897294637527048,0.40561590180942664,0.16201961855096259,445.32800978922063,228.1608906686972
1,55.44250910584692,False,Maximum number of iterations has been exceeded.,50,4740,True,4.740120699025973,0.0014332392095384242,0.950233618530019,0.5728523307605784,0.3564799757637257,6.410234089857628,1.4743513772045127,0.4018818874760611,0.22937227096426663,452.77668137986797,241.49542312932542
4,55.640615436883635,False,Maximum number of iterations has been exceeded.,50,4836,True,7.850714211354769,0.00156718846688279,0.5445451828042954,0.3680361709282543,0.12197338483542805,5.288881049920311,1.1207897876902377,0.3648217598271003,0.14487808068229588,526.3206052642958,214.24744125718124
2,57.01446439810293,False,Maximum number of iterations has been exceeded.,50,4740,True,4.767930521133155,0.0042058669679312655,0.5366690948050098,0.3161665612712159,0.10883316272066701,6.067828489434686,1.6785943902550249,0.4224452675736323,0.14423948856623142,440.7799866125796,223.6654646685504
5,57.02691003978817,False,Maximum number of iterations has been exceeded.,50,4740,True,3.54480788384984,0.0029155077527231316,0.3144927560201403,0.36449664462203096,0.21600284916954177,7.864067347027879,1.5011139992863396,0.3876829586408989,0.10140096985746881,483.4772352562325,211.62400782981268
