 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,15625-2-fb-1.png:0192-0263,3.847E5,5.125E1,8.810E0,4.700E1,3.400E1,1.500E2,5.754E2,7.081E2,5.811E2,7.103E2,2.278E3,2.150E2,1.051E3,7.482E2,6.742E2,7.402E2,6.618E2,1.795E2,9.318E-1,7.564E2,1.972E7,4.900E1,2.387E0,9.173E0,0.000E0,3.930E6,1.000E0,1.022E2,1.433E2,1.656E2,6.665E2,1.119E0,8.940E-1,9.869E-1
2,15625-2-fb-2.png:0238-0259,3.896E5,5.177E1,1.068E1,4.800E1,3.500E1,1.400E2,5.798E2,6.020E2,5.718E2,6.156E2,2.254E3,2.307E2,9.789E2,7.011E2,7.347E2,7.327E2,6.771E2,9.238E1,9.636E-1,7.443E2,2.017E7,4.900E1,2.392E0,7.222E0,0.000E0,4.020E6,1.000E0,1.754E2,3.851E2,6.754E1,6.702E2,1.082E0,9.241E-1,9.898E-1
3,15625-2-fb-3.png:0238-0341,3.507E5,5.042E1,7.509E0,4.800E1,3.400E1,1.040E2,7.464E2,6.154E2,7.524E2,6.207E2,2.150E3,4.211E2,9.341E2,6.877E2,6.474E2,6.918E2,6.455E2,4.658E0,9.536E-1,7.035E2,1.768E7,4.900E1,1.524E0,9.333E-1,0.000E0,3.524E6,1.000E0,2.075E2,3.287E2,2.988E1,6.373E2,1.072E0,9.331E-1,9.926E-1
4,15625-2-fb-4.png:0205-0204,3.468E5,4.599E1,6.322E0,4.600E1,3.100E1,9.100E1,4.483E2,6.898E2,4.510E2,6.910E2,2.138E3,1.008E2,9.990E2,7.146E2,6.294E2,7.263E2,6.079E2,2.364E1,9.532E-1,7.274E2,1.595E7,4.600E1,1.228E0,2.804E-3,0.000E0,3.179E6,1.000E0,9.850E1,3.308E2,3.960E1,6.032E2,1.195E0,8.370E-1,9.926E-1
5,15625-2-fb-5.png:0217-0260,2.906E5,4.882E1,7.043E0,4.600E1,3.300E1,9.200E1,5.936E2,6.533E2,5.978E2,6.571E2,1.984E3,2.621E2,9.610E2,6.406E2,6.048E2,6.548E2,5.650E2,3.291E1,9.277E-1,6.616E2,1.418E7,4.800E1,1.470E0,-7.558E-3,0.000E0,2.827E6,1.000E0,1.190E2,2.613E2,1.873E1,5.654E2,1.159E0,8.628E-1,9.897E-1
6,15625-2-fb-6.png:0204-0238,2.806E5,5.825E1,1.182E1,4.800E1,3.800E1,1.360E2,5.423E2,6.664E2,5.442E2,6.708E2,1.958E3,2.330E2,9.834E2,6.026E2,5.936E2,6.500E2,5.497E2,4.503E1,9.196E-1,6.736E2,1.634E7,5.500E1,1.715E0,3.942E0,0.000E0,3.258E6,1.000E0,1.427E2,3.313E2,5.506E1,5.509E2,1.182E0,8.457E-1,9.886E-1
7,15625-2-fb-7.png:0202-0282,2.722E5,5.988E1,9.463E0,5.200E1,4.000E1,1.130E2,6.293E2,6.872E2,6.275E2,6.888E2,1.863E3,3.270E2,9.834E2,6.093E2,5.846E2,6.028E2,5.749E2,1.620E2,9.853E-1,6.084E2,1.630E7,5.800E1,1.157E0,8.222E-1,0.000E0,3.248E6,1.000E0,1.470E2,1.854E2,1.732E2,5.700E2,1.048E0,9.538E-1,9.960E-1
8,15625-2-fb-8.png:0254-0245,3.387E5,5.151E1,8.237E0,4.800E1,3.300E1,1.240E2,5.267E2,5.750E2,5.348E2,5.792E2,2.145E3,2.240E2,9.206E2,6.518E2,6.899E2,6.793E2,6.348E2,7.309E1,9.251E-1,7.015E2,1.744E7,5.000E1,2.115E0,5.393E0,0.000E0,3.476E6,1.000E0,1.348E2,3.845E2,5.500E1,6.437E2,1.070E0,9.345E-1,9.867E-1
9,15625-2-fb-9.png:0311-0286,3.099E5,5.675E1,9.563E0,5.200E1,3.900E1,1.260E2,6.246E2,4.422E2,6.246E2,4.482E2,2.075E3,3.136E2,7.840E2,6.541E2,6.720E2,6.611E2,5.969E2,8.965E1,9.049E-1,6.796E2,1.759E7,5.400E1,1.695E0,2.959E0,0.000E0,3.506E6,1.000E0,2.154E2,4.535E2,7.273E1,6.147E2,1.108E0,9.029E-1,9.791E-1
10,15625-2-fb-10.png:0258-0257,4.145E5,4.323E1,7.740E0,3.900E1,2.500E1,8.400E1,5.704E2,5.626E2,5.672E2,5.550E2,2.336E3,1.971E2,9.386E2,7.571E2,7.459E2,7.354E2,7.176E2,3.557E1,9.542E-1,7.576E2,1.791E7,4.200E1,8.583E-1,-1.917E-1,0.000E0,3.570E6,1.000E0,8.902E1,2.918E2,6.439E0,7.068E2,1.025E0,9.758E-1,9.925E-1
