 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,15625-21-fb-1.png:0237-0196,2.964E5,8.156E1,8.961E0,8.600E1,6.100E1,1.340E2,4.476E2,6.148E2,4.481E2,6.216E2,1.965E3,1.434E2,9.408E2,5.936E2,6.541E2,6.564E2,5.750E2,6.901E1,9.649E-1,6.581E2,2.418E7,8.100E1,4.443E-1,3.987E0,0.000E0,4.819E6,1.000E0,1.733E2,3.808E2,7.873E1,5.733E2,1.142E0,8.759E-1,9.970E-1
2,15625-21-fb-2.png:0190-0198,1.863E5,8.081E1,1.654E1,6.800E1,5.600E1,1.740E2,4.434E2,6.968E2,4.439E2,7.067E2,1.616E3,1.411E2,9.408E2,6.070E2,4.435E2,5.709E2,4.154E2,1.774E2,8.959E-1,6.047E2,1.505E7,7.500E1,1.380E0,2.654E-1,0.000E0,3.000E6,1.000E0,6.374E1,2.186E2,1.775E2,4.352E2,1.374E0,7.277E-1,9.882E-1
3,15625-21-fb-3.png:0241-0260,2.658E5,8.126E1,1.293E1,7.400E1,5.700E1,1.650E2,5.786E2,5.955E2,5.784E2,5.920E2,1.898E3,2.486E2,8.669E2,6.675E2,5.264E2,6.702E2,5.050E2,1.630E2,9.275E-1,6.815E2,2.160E7,7.800E1,1.472E0,1.339E0,0.000E0,4.305E6,1.000E0,1.127E2,2.149E2,1.650E2,5.066E2,1.327E0,7.535E-1,9.946E-1
4,15625-21-fb-4.png:0263-0260,2.877E5,8.363E1,1.270E1,7.500E1,5.900E1,1.360E2,5.707E2,5.450E2,5.748E2,5.448E2,1.981E3,2.979E2,8.893E2,5.712E2,6.675E2,6.885E2,5.320E2,1.165E2,9.212E-1,6.929E2,2.406E7,8.100E1,1.009E0,-8.254E-1,0.000E0,4.795E6,1.000E0,1.981E2,1.201E2,1.160E2,5.335E2,1.294E0,7.727E-1,9.964E-1
5,15625-21-fb-5.png:0288-0249,3.187E5,7.136E1,1.231E1,6.000E1,4.700E1,1.200E2,5.459E2,4.925E2,5.426E2,4.962E2,2.032E3,2.195E2,8.109E2,6.787E2,6.227E2,6.662E2,6.090E2,2.455E1,9.694E-1,6.798E2,2.274E7,6.900E1,5.088E-1,1.253E0,0.000E0,4.532E6,1.000E0,9.850E1,2.929E2,1.750E2,5.993E2,1.094E0,9.141E-1,9.958E-1
6,15625-21-fb-6.png:0217-0246,3.446E5,8.150E1,1.956E1,6.400E1,5.200E1,1.950E2,5.553E2,6.394E2,5.471E2,6.536E2,2.210E3,1.523E2,9.229E2,7.997E2,5.309E2,8.170E2,5.370E2,1.755E2,8.866E-1,8.125E2,2.809E7,7.500E1,1.340E0,7.671E-1,0.000E0,5.598E6,1.000E0,7.901E1,1.854E2,1.602E2,5.245E2,1.521E0,6.573E-1,9.943E-1
7,15625-21-fb-7.png:0274-0257,4.031E5,7.323E1,1.276E1,6.400E1,5.000E1,1.400E2,5.654E2,5.307E2,5.699E2,5.345E2,2.287E3,2.397E2,9.094E2,6.720E2,7.571E2,7.641E2,6.718E2,9.009E1,9.687E-1,7.667E2,2.952E7,7.000E1,1.183E0,6.285E-1,0.000E0,5.884E6,1.000E0,1.691E2,1.264E2,1.208E2,6.688E2,1.137E0,8.792E-1,9.965E-1
8,15625-21-fb-8.png:0265-0248,2.444E5,5.854E1,1.234E1,4.900E1,3.700E1,1.130E2,5.566E2,5.481E2,5.747E2,5.395E2,1.813E3,2.822E2,8.490E2,5.488E2,5.981E2,6.587E2,4.725E2,1.274E2,9.348E-1,6.720E2,1.431E7,5.500E1,1.234E0,2.055E0,0.000E0,2.852E6,1.000E0,1.586E2,1.470E2,1.305E2,4.686E2,1.394E0,7.173E-1,9.938E-1
9,15625-21-fb-10.png:0180-0281,2.566E5,8.029E1,1.627E1,7.500E1,5.600E1,1.950E2,6.229E2,7.221E2,6.237E2,7.448E2,1.834E3,3.562E2,1.055E3,5.488E2,6.272E2,6.163E2,5.301E2,1.001E2,9.592E-1,6.277E2,2.061E7,7.500E1,1.868E0,3.264E0,0.000E0,4.107E6,1.000E0,2.765E2,4.003E1,9.496E1,5.389E2,1.163E0,8.601E-1,9.955E-1
10,15625-21-fb-11.png:0232-0273,3.894E5,8.465E1,1.488E1,8.800E1,5.300E1,1.430E2,6.123E2,6.110E2,6.088E2,6.112E2,2.263E3,2.755E2,9.834E2,6.720E2,7.190E2,7.274E2,6.816E2,7.542E1,9.552E-1,7.377E2,3.296E7,8.400E1,5.774E-1,-7.563E-1,0.000E0,6.569E6,1.000E0,1.786E2,3.750E2,6.122E1,6.702E2,1.067E0,9.371E-1,9.965E-1
