Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,128460.44119219996,False,307.731,258.3486500556879,23.7796,-2.0766686548264928,124.941,108.35165121006025,8.29775,-1.9992586893964928,37638800.0,22719449.28351755,7416890.0,-2.011537277279621,681.929,544.1962557556315,44.073,-3.1251048089389992,2073.0,1664.431928835682,139.116,-2.9368877135938214
2.0,143389.91419863986,False,280.957,278.8428745630066,30.3729,-0.06960564967432778,77.8109,105.07520896772411,10.3525,2.6335966160564217,19108500.0,25666652.895926658,2752750.0,2.3824004707752824,631.047,604.4197099272965,63.2546,-0.4209542084323281,1879.71,1927.4407138033116,184.626,0.2585265011607876
3.0,140843.73668558436,False,280.108,288.5446422116391,19.1855,0.43974054424638825,68.703,96.24042056049836,5.49419,5.012098336697195,17012700.0,25172909.47615665,2575080.0,3.168914937072498,634.273,611.5307746711246,59.8837,-0.37977321589807256,1867.91,1927.440713803311,143.883,0.41374390166531727
6.0,139275.83953400387,False,323.258,297.93065032575106,23.6353,-1.0715899385346883,85.1052,84.41071791095942,6.22248,-0.11160856909794431,28076400.0,23538448.620319325,4468020.0,-1.015651536850926,707.412,632.384373805735,61.147,-1.2270042061632631,2119.27,1927.4407138033116,160.451,-1.195563045395095
7.0,140045.30540839685,False,333.563,307.02985890301795,22.0005,-1.2060244583978563,86.3636,80.32677581316199,11.8083,-0.5112356720982715,30170900.0,23788739.69712394,4876780.0,-1.3086832506030739,720.767,632.384373805735,51.9346,-1.7018062369646645,2158.76,2036.3825195601723,145.672,-0.8400892446031349
10.0,144961.78665402078,False,313.066,307.02985890301795,25.6611,-0.2352253448598081,71.6833,76.68387423735295,4.50211,1.1107179161222072,22236100.0,22709895.980917368,3869130.0,0.12245543078608578,698.179,632.384373805735,70.1773,-0.9375485547928603,2037.48,2036.3825195601723,172.685,-0.006355389523280409
13.0,152814.42713391516,False,331.712,315.86705449047594,18.1173,-0.8745754339511987,78.6526,72.99679876922981,4.79295,-1.1800250849206009,27270300.0,22880333.40825163,3495420.0,-1.2559196296148594,734.034,665.6902502966484,39.4552,-1.732186117504197,2164.31,2036.3825195601723,111.898,-1.143250821639597
17.0,166745.64446204464,False,336.446,348.9851623356185,36.2647,0.34576771173120063,64.1623,67.12964057493087,8.17519,0.36296900438165625,22908700.0,25684914.231240187,4896360.0,0.5669955295852811,739.918,721.7782435980123,78.7494,-0.2303478680724896,2188.1,2299.391304527802,232.658,0.4783472071787857
21.0,183933.23034019,False,305.897,356.7846764995662,25.9122,1.9638500976206663,80.3737,66.65982486231161,6.43682,-2.130535751766927,23685200.0,26657930.30962424,3814860.0,0.7792501715984963,692.448,751.1307116859051,74.8409,0.7840994922015252,2002.37,2299.391304527802,175.141,1.6958981879046138
