 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,500-6-fb-1.png:0145-0285,2.120E5,1.119E2,1.740E1,1.140E2,6.300E1,1.890E2,6.309E2,8.285E2,6.370E2,8.291E2,1.750E3,3.629E2,1.080E3,5.510E2,5.197E2,5.419E2,4.980E2,1.658E2,8.702E-1,5.554E2,2.373E7,1.120E2,1.365E-1,-1.699E-1,0.000E0,4.729E6,1.000E0,1.660E2,9.300E1,1.646E2,5.039E2,1.088E0,9.190E-1,9.759E-1
2,500-6-fb-2.png:0286-0246,2.262E5,1.103E2,1.795E1,1.130E2,5.900E1,1.920E2,5.566E2,5.054E2,5.534E2,5.039E2,1.914E3,2.576E2,7.661E2,5.891E2,5.242E2,5.683E2,5.068E2,5.978E0,7.756E-1,6.055E2,2.495E7,1.110E2,2.701E-1,3.521E-1,0.000E0,4.973E6,1.000E0,1.230E2,3.550E2,2.875E1,5.103E2,1.121E0,8.919E-1,9.562E-1
3,500-6-fb-3.png:0260-0241,1.942E5,1.073E2,1.644E1,1.120E2,6.200E1,1.730E2,5.347E2,5.498E2,5.302E2,5.540E2,1.725E3,2.957E2,8.467E2,4.906E2,5.690E2,5.759E2,4.294E2,1.254E2,8.201E-1,6.036E2,2.084E7,1.070E2,2.508E-1,4.237E-1,0.000E0,4.153E6,1.000E0,1.830E2,1.330E2,1.095E2,4.472E2,1.341E0,7.456E-1,9.594E-1
4,500-6-fb-5.png:0267-0256,2.190E5,1.047E2,1.908E1,8.700E1,6.000E1,1.810E2,5.715E2,5.326E2,5.818E2,5.273E2,1.810E3,3.024E2,8.176E2,5.443E2,5.443E2,5.411E2,5.154E2,1.533E2,8.399E-1,5.671E2,2.293E7,1.030E2,2.905E-1,-8.570E-2,0.000E0,4.569E6,1.000E0,1.910E2,1.660E2,1.289E2,5.277E2,1.050E0,9.524E-1,9.572E-1
5,500-6-fb-6.png:0234-0211,2.116E5,1.074E2,1.770E1,1.140E2,6.000E1,1.800E2,4.833E2,6.278E2,4.823E2,6.287E2,1.821E3,1.859E2,8.781E2,5.757E2,5.152E2,5.709E2,4.719E2,2.336E1,8.015E-1,6.149E2,2.272E7,1.080E2,5.208E-2,4.560E-1,0.000E0,4.528E6,1.000E0,9.000E1,2.830E2,2.946E1,4.798E2,1.210E0,8.265E-1,9.536E-1
6,500-6-fb-7.png:0269-0249,2.419E5,1.111E2,1.679E1,1.150E2,6.300E1,1.850E2,5.981E2,5.405E2,5.982E2,5.385E2,1.898E3,2.509E2,8.154E2,6.160E2,5.466E2,5.917E2,5.205E2,1.595E2,8.438E-1,6.347E2,2.688E7,1.110E2,3.119E-1,2.192E-1,0.000E0,5.358E6,1.000E0,1.120E2,2.620E2,1.617E2,5.283E2,1.137E0,8.796E-1,9.717E-1
7,500-6-fb-8.png:0262-0248,2.010E5,1.065E2,1.413E1,1.100E2,6.200E1,1.710E2,5.714E2,5.466E2,5.715E2,5.472E2,1.818E3,3.293E2,8.781E2,4.547E2,6.406E2,6.553E2,3.906E2,6.742E1,7.646E-1,6.660E2,2.141E7,1.060E2,2.348E-1,1.121E0,0.000E0,4.268E6,1.000E0,2.070E2,3.980E2,6.766E1,4.148E2,1.678E0,5.960E-1,9.620E-1
8,500-6-fb-10.png:0284-0239,1.633E5,1.037E2,1.481E1,1.070E2,6.300E1,1.850E2,5.312E2,5.018E2,5.302E2,5.009E2,1.569E3,3.181E2,7.638E2,4.346E2,5.107E2,5.165E2,4.025E2,6.469E1,8.337E-1,5.209E2,1.693E7,1.040E2,1.682E-1,5.288E-1,0.000E0,3.375E6,1.000E0,2.030E2,3.970E2,7.351E1,4.120E2,1.283E0,7.793E-1,9.774E-1
9,500-6-fb-11.png:0245-0246,1.952E5,1.173E2,1.716E1,1.120E2,7.200E1,1.880E2,5.419E2,5.964E2,5.431E2,5.989E2,1.738E3,3.270E2,8.938E2,4.480E2,5.958E2,6.260E2,3.971E2,6.622E1,8.123E-1,6.276E2,2.290E7,1.160E2,2.794E-1,1.560E-1,0.000E0,4.564E6,1.000E0,1.690E2,3.640E2,5.739E1,4.038E2,1.576E0,6.344E-1,9.673E-1
10,500-6-fb-12.png:0222-0290,2.124E5,1.142E2,1.658E1,1.100E2,6.500E1,1.880E2,6.355E2,6.557E2,6.381E2,6.558E2,1.810E3,3.494E2,8.982E2,6.003E2,5.018E2,6.287E2,4.301E2,3.412E1,8.142E-1,6.576E2,2.425E7,1.140E2,1.627E-2,7.236E-1,0.000E0,4.834E6,1.000E0,1.560E2,2.860E2,2.456E1,4.504E2,1.462E0,6.842E-1,9.709E-1
