Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,127286.15033014078,False,348.949,280.9205804378952,27.9898,-2.430471799087697,84.2317,94.12989569470146,6.70588,1.4760472443141628,32355000.0,23336975.17964258,5410540.0,-1.6667513446638265,757.656,605.3883147865871,41.7818,-3.644354365140153,2283.5,1952.0418521976337,160.53,-2.064773860352372
2.0,120324.61482679525,False,337.354,286.96257446675594,20.2127,-2.493057608990587,50.3856,76.74327710958855,5.42446,4.859041657526934,17972800.0,19853666.993400823,2192760.0,0.8577623604046148,725.037,622.9394366862447,42.0172,-2.4298992630102756,2181.53,1979.2405984749987,134.23,-1.50703569637936
3.0,120971.13142047051,False,294.088,290.5274636298661,17.6983,-0.20117956923173105,48.6361,68.56319229977584,4.00201,4.9792709912708455,13210600.0,18180896.231860694,1537590.0,3.232523775428231,632.43,645.0423481504586,41.2245,0.30594302297077264,1891.91,1967.9745088873694,114.765,0.6627848985959949
6.0,137936.26339610323,False,270.157,282.13933054391555,20.097,0.5962248367376008,62.9367,60.99124148653205,6.28476,-0.3095517590915094,14490500.0,15252625.578089366,2566860.0,0.2969096787862859,576.285,664.7931009164098,42.3959,2.087657082793615,1741.42,1940.7757626100047,127.741,1.5606247219765355
7.0,146108.78109948867,False,287.502,279.6965197984398,35.9217,-0.21729150350791346,61.8894,60.29709296356807,5.48038,-0.29054683004315995,16195400.0,14819050.306209544,3761560.0,-0.36589864146536444,629.297,659.9108333679682,85.4188,0.35839690288283305,1855.44,1940.7757626100044,236.039,0.3615324696766399
10.0,177776.02493127214,False,313.755,280.9205804378952,34.3615,-0.955558388373756,65.2229,60.00408650629126,5.06809,-1.0297397034600289,20515000.0,14876398.907486185,5227750.0,-1.0785904246595217,708.412,708.7409620607415,79.1774,0.0041547469447272365,2052.26,1940.7757626100047,225.984,-0.49332801167337303
13.0,219067.6534876125,False,255.64,296.37367250521373,35.4148,1.150187845341884,75.23,60.07312385488814,7.34333,-2.064033094673924,15679400.0,16577129.584082792,4354580.0,0.20615755918660159,578.91,893.1212760072304,92.3877,3.4010076666832325,1670.52,2361.9560017415265,234.895,2.9435960822560143
17.0,287164.95458465803,False,301.54,326.13731090103767,31.379,0.7838781000362549,79.3306,59.036069250806264,10.5907,-1.916259619212492,22827200.0,19727328.575833667,5265890.0,-0.5886699919987567,694.872,863.6695788434296,85.8214,1.9668471831434773,1973.34,2346.0233450517912,204.482,1.822572867302703
21.0,373907.049234162,False,293.782,351.4559413594863,34.4732,1.6730080572585755,78.408,58.54736193950447,10.0472,-1.9767336233473536,21536800.0,22719511.16244032,5567870.0,0.21241716535054134,662.28,876.0614541905259,76.9809,2.77707137992055,1904.56,2400.4208376065217,218.722,2.2670825870580997
