Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,122738.0873196295,False,256.407,257.51411473038644,16.5358,0.06695259560386897,129.833,109.41893220623754,26.4267,-0.7724788866473096,26945600.0,22795253.26101206,6745240.0,-0.6153000840574896,596.174,520.0340482060743,42.8492,-1.7769281992178536,1808.81,1703.7578833313928,152.724,-0.6878559798630677
2.0,123339.72184288454,False,247.778,260.5722541507455,16.2437,0.787644080520171,93.7789,107.05443146298852,6.90753,1.9218926972432293,18107800.0,22835517.70857158,2294480.0,2.060474577495371,565.289,525.8316119071817,36.67,-1.0760127650073164,1675.33,1730.6650710462634,104.883,0.5275885610276543
3.0,124025.67643070447,False,257.646,263.97713611017883,16.2341,0.3899899661933102,92.6729,104.69384992031529,3.74777,3.2074940352036783,19354700.0,22919422.41591723,2105570.0,1.692996393336355,586.865,533.2657393317336,39.0849,-1.3713546834779269,1764.53,1757.572258761133,112.673,-0.06175162850786703
6.0,126479.32635683964,False,305.909,272.93714159718195,16.8313,-1.9589608885123577,97.1112,99.20818783492967,6.22265,0.3369927337918215,28607100.0,23217885.622364517,3370490.0,-1.598940918868023,681.324,551.7818940284203,38.9359,-3.327060783790272,2047.12,1833.6772783445094,101.285,-2.1073477973588437
7.0,127448.95269514012,False,308.194,275.8243346970426,22.4752,-1.440239254954679,94.044,97.68134214249196,5.81852,0.6251318449523177,28159400.0,23346761.64654858,3942410.0,-1.220735122285967,678.306,556.5179557034386,58.269,-2.090100126938191,2046.51,1822.5319562676916,151.117,-1.4821498820934005
10.0,130642.11874549612,False,289.622,284.31005021726617,27.1112,-0.19593193155352207,90.1623,93.79936027083892,7.22639,0.5033025163102068,23849000.0,23819584.043644737,4157440.0,-0.007075497506942385,638.297,573.1017806160602,63.2171,-1.0312908909763314,1925.41,1887.49165377425,174.197,-0.217675081808241
13.0,134279.79845949763,False,289.246,292.8941687810253,26.5666,0.1373216287001473,93.2029,90.59525335056854,6.89499,-0.3781944062908661,24696500.0,24416126.55637971,4718490.0,-0.059420162725848866,643.818,590.2165378826558,64.758,-0.8277195422549218,1920.5,1952.4513512808082,177.17,0.18034289823789718
17.0,139580.95433050123,False,278.055,304.32586656294484,25.3596,1.0359337908699204,72.6525,87.13797298233011,11.5988,1.2488768650489799,17804700.0,25353332.988971937,4409620.0,1.7118556676021828,658.896,613.0064751075896,76.9655,-0.5962349999988351,1870.36,2017.4110487873668,157.832,0.9316935018714005
21.0,145257.2400893585,False,289.638,315.29774039347615,29.2188,0.878192820837138,95.5133,84.43606059340213,9.26793,-1.1952226016594718,25270800.0,26370572.13188409,4716100.0,0.23319525283265635,666.372,635.7623856361115,64.5517,-0.4741875793184139,1934.44,2082.3707462939246,184.5,0.8017926628396996
