seed,error,success,message,iterations,function_evaluations,valid_fit,lambda_,delta,k_n,k_p,k_d,alpha,beta,mu,R0,time_scale,pixel_scale,intensity_scale
3,51.44025174177409,False,Maximum number of iterations has been exceeded.,50,5169,True,3.415954714911007,0.00047799979606361065,0.9670924430798487,0.311075599808625,0.27455193752493656,6.936310509193379,1.653787631800859,0.1782607935364462,0.382206771579456,0.1839643986182856,475.1153491295484,222.0600956704861
2,53.609942966864764,False,Maximum number of iterations has been exceeded.,50,5169,True,5.250188226507294,0.0006803985268247874,0.5207655192357101,0.21451734715987816,0.3160010572754025,7.163630646502083,1.5464260167464217,0.2938174554868429,0.3785988222336287,0.1578789775330932,466.2166696200084,228.39444004734165
5,53.61561900913944,False,Maximum number of iterations has been exceeded.,50,4935,True,3.8851502749341145,0.0002944786416870446,0.6272341191595423,0.3732456072382094,0.23729854124380126,7.547985407897217,1.1951987908140407,0.6693596448496721,0.34722143813128914,0.22503248576782067,493.7478274189348,250.4095541655672
4,54.24720044463554,False,Maximum number of iterations has been exceeded.,50,5169,True,6.679935848052716,0.00016889913432265036,0.836074006290556,0.4779275050613371,0.33546698334717573,6.907297601146604,1.2544863026916964,0.42435652518438727,0.4258625433857913,0.23232153467130928,447.98623592249834,242.1773318034672
1,58.45361667716071,False,Maximum number of iterations has been exceeded.,50,5169,True,8.485495178570595,0.0002468152103334738,0.8874992224086347,0.2861614553928553,0.38646645689609715,6.409818899379064,0.6696401777518488,0.462186361166836,0.4152266197364035,0.16273186464116163,434.0835583302302,208.36113617816875
