 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,8000-2-fb-1.png:0173-0238,3.186E5,5.813E1,1.276E1,4.900E1,3.400E1,1.390E2,5.222E2,7.497E2,5.183E2,7.452E2,2.089E3,1.994E2,1.082E3,6.675E2,6.518E2,7.026E2,5.773E2,4.193E1,9.176E-1,7.084E2,1.852E7,5.500E1,1.273E0,1.947E0,0.000E0,3.691E6,1.000E0,1.475E2,3.108E2,5.779E1,5.628E2,1.217E0,8.217E-1,9.808E-1
2,8000-2-fb-2.png:0242-0237,3.306E5,5.924E1,1.499E1,5.000E1,3.300E1,1.390E2,5.205E2,6.105E2,5.245E2,6.157E2,2.095E3,1.971E2,9.453E2,6.698E2,6.854E2,6.933E2,6.072E2,5.571E1,9.469E-1,6.960E2,1.959E7,5.500E1,1.389E0,1.678E0,0.000E0,3.904E6,1.000E0,1.754E2,3.851E2,6.396E1,6.036E2,1.142E0,8.759E-1,9.841E-1
3,8000-2-fb-3.png:0211-0229,3.424E5,5.915E1,1.252E1,5.100E1,3.400E1,1.400E2,5.129E2,6.747E2,5.186E2,6.745E2,2.140E3,1.770E2,1.010E3,6.742E2,6.765E2,7.190E2,6.064E2,5.348E1,9.397E-1,7.221E2,2.025E7,5.600E1,1.253E0,1.497E0,0.000E0,4.037E6,1.000E0,1.564E2,3.503E2,6.000E1,5.969E2,1.186E0,8.434E-1,9.842E-1
4,8000-2-fb-4.png:0236-0272,2.896E5,6.246E1,1.482E1,5.000E1,3.400E1,1.340E2,6.118E2,6.292E2,6.140E2,6.328E2,1.972E3,2.957E2,9.274E2,6.294E2,6.250E2,6.206E2,5.942E2,1.231E2,9.355E-1,6.449E2,1.809E7,6.000E1,8.705E-1,3.495E-1,0.000E0,3.605E6,1.000E0,2.228E2,3.714E2,6.921E1,5.745E2,1.044E0,9.575E-1,9.869E-1
5,8000-2-fb-5.png:0259-0231,3.007E5,5.833E1,1.104E1,5.000E1,3.400E1,1.160E2,5.203E2,5.489E2,5.190E2,5.482E2,2.010E3,2.061E2,8.938E2,6.250E2,6.608E2,6.353E2,6.026E2,7.087E1,9.349E-1,6.614E2,1.754E7,5.600E1,7.584E-1,-1.373E-1,0.000E0,3.495E6,1.000E0,2.112E2,4.067E2,8.457E1,5.984E2,1.054E0,9.486E-1,9.886E-1
6,8000-2-fb-6.png:0232-0223,2.504E5,6.521E1,1.185E1,6.700E1,4.100E1,1.180E2,5.056E2,6.216E2,5.046E2,6.235E2,1.932E3,2.128E2,9.139E2,5.757E2,5.802E2,6.212E2,5.132E2,1.342E2,8.429E-1,6.557E2,1.633E7,6.500E1,6.065E-1,-2.915E-1,0.000E0,3.254E6,1.000E0,1.190E2,1.396E2,1.399E2,5.305E2,1.210E0,8.261E-1,9.629E-1
7,8000-2-fb-7.png:0241-0255,3.079E5,6.674E1,1.610E1,5.100E1,4.100E1,1.330E2,5.576E2,6.095E2,5.561E2,6.115E2,2.028E3,2.509E2,9.408E2,6.406E2,6.742E2,6.490E2,6.040E2,6.831E1,9.409E-1,6.725E2,2.055E7,6.300E1,1.022E0,5.782E-1,0.000E0,4.095E6,1.000E0,2.449E2,3.914E2,8.668E1,6.065E2,1.075E0,9.306E-1,9.835E-1
8,8000-2-fb-8.png:0243-0230,2.958E5,6.219E1,1.225E1,5.300E1,3.900E1,1.380E2,5.216E2,5.935E2,5.117E2,5.975E2,2.000E3,1.994E2,9.229E2,6.317E2,6.474E2,6.600E2,5.706E2,4.941E1,9.289E-1,6.794E2,1.839E7,5.900E1,1.487E0,2.756E0,0.000E0,3.666E6,1.000E0,1.027E2,3.308E2,3.681E1,5.722E2,1.157E0,8.646E-1,9.840E-1
9,8000-2-fb-9.png:0260-0292,2.339E5,6.793E1,1.344E1,5.700E1,4.300E1,1.190E2,6.582E2,5.579E2,6.570E2,5.650E2,1.764E3,3.651E2,8.422E2,5.779E2,5.622E2,5.794E2,5.141E2,3.749E1,9.447E-1,5.824E2,1.589E7,6.500E1,7.508E-1,-3.090E-1,0.000E0,3.167E6,1.000E0,1.907E2,3.403E2,3.685E1,5.166E2,1.127E0,8.873E-1,9.896E-1
10,8000-2-fb-10.png:0191-0262,3.308E5,5.722E1,1.071E1,5.100E1,3.000E1,1.170E2,5.875E2,7.193E2,5.868E2,7.146E2,2.082E3,2.621E2,1.060E3,6.518E2,6.877E2,6.697E2,6.290E2,8.632E1,9.594E-1,6.895E2,1.893E7,5.500E1,8.007E-1,3.386E-1,0.000E0,3.773E6,1.000E0,2.397E2,3.951E1,9.846E1,6.286E2,1.065E0,9.392E-1,9.903E-1
