Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,121488.88109154919,False,256.407,252.82722635929667,16.5358,-0.2164862686234297,129.833,98.12583584740018,26.4267,-1.1998154954118303,26945600.0,19705203.41288389,6745240.0,-1.0734082978687358,596.174,532.5657010716071,42.8492,-1.4844687632066143,1808.81,1628.8597131847675,152.724,-1.178271174243946
2.0,127468.75686182399,False,247.778,257.9874976040913,16.2437,0.6285204481793739,93.7789,98.69290954551536,6.90753,0.7113989436912137,18107800.0,20636362.363379676,2294480.0,1.102019788091278,565.289,547.8944618649607,36.67,-0.4743533715582024,1675.33,1735.4732162092398,104.883,0.5734315018567345
3.0,133778.66144522533,False,257.646,268.0101378362262,16.2341,0.6384177648422873,92.6729,97.22971874375408,3.74777,1.2158747051590888,19354700.0,21940743.80604363,2105570.0,1.2281917989160316,586.865,570.115351853376,39.0849,-0.4285452475668111,1764.53,1735.4732162092398,112.673,-0.25788595129942543
6.0,145835.0431012049,False,305.909,282.37787019780944,16.8313,-1.3980577734453399,97.1112,95.80700717806678,6.22265,-0.20958800863510138,28607100.0,23999846.451200955,3370490.0,-1.3669387978599685,681.324,598.4611476008309,38.9359,-2.128186388375998,2047.12,1886.2474781185535,101.285,-1.5883153663567788
7.0,146552.10124427752,False,308.194,285.8569895525828,22.4752,-0.9938514650555831,94.044,94.07121602442687,5.81852,0.004677482319709743,28159400.0,24149284.179287944,3942410.0,-1.0171737137213166,678.306,612.1420264710683,58.269,-1.1354918314872695,2046.51,1966.2076053869084,151.117,-0.5313921968613166
10.0,148989.61120788043,False,289.622,298.2667605309915,27.1112,0.31886307249371126,90.1623,88.81244032534734,7.22639,-0.186795851684266,23849000.0,24821806.79652911,4157440.0,0.23399178257031022,638.297,618.86906390957,63.2171,-0.3073209003644596,1925.41,1992.8609811430263,174.197,0.38721092293797355
13.0,151663.16633888567,False,289.246,300.4680210994089,26.5666,0.4224108880853738,93.2029,87.44469602531349,6.89499,-0.835128691221671,24696500.0,24801609.113694783,4718490.0,0.02227600645434944,643.818,618.86906390957,64.758,-0.38526415408798975,1920.5,1992.8609811430263,177.17,0.4084268281482546
17.0,155236.53104386825,False,278.055,305.9018794773126,25.3596,1.098080390751928,72.6525,85.05268173419533,11.5988,1.0690917796837025,17804700.0,25003578.83326422,4409620.0,1.6325395007425176,658.896,651.4631276790064,76.9655,-0.09657407956803386,1870.36,1992.8609811430263,157.832,0.7761479366860102
21.0,159829.59947512162,False,289.638,309.1163482677142,29.2188,0.6666375165206729,95.5133,83.91801007865946,9.26793,-1.2511197129607732,25270800.0,25191208.25425877,4716100.0,-0.016876602646515023,666.372,651.4631276790064,64.5517,-0.2309601810795612,1934.44,1992.8609811430263,184.5,0.3166448842440445
