Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,68579.51061688109,False,166.621,197.95077225036454,21.5258,1.4554521667192173,147.147,117.44645483635097,17.0425,-1.7427340568372611,13113500.0,14457865.672423536,3741230.0,0.35933788417807405,423.018,416.9716739737709,68.5339,-0.08822387207249337,1282.76,1275.3137498499314,197.455,-0.03771112481359619
2.0,69438.61616764455,False,181.712,197.95077225036454,13.2992,1.2210337652162948,101.436,113.24320793741981,5.62976,2.097284420191945,10569200.0,13940438.567983015,1620700.0,2.080112647610918,443.948,416.9716739737709,50.1002,-0.5384474717911119,1322.0,1275.3137498499314,121.015,-0.3857889530229198
3.0,72293.33138922651,False,181.407,206.93038504838984,19.1721,1.3312774838640433,107.387,107.01181070294692,4.73479,-0.07924095832192837,11191200.0,14395611.480480429,2184520.0,1.4668721185800215,450.36,450.6156397303825,64.4222,0.003968193113282126,1337.14,1388.2987952600433,163.571,0.312762013193312
6.0,86232.7548232694,False,245.049,240.3473576841013,18.1031,-0.2597147624384061,115.191,99.0539721895513,6.58083,-2.452126526661333,21752800.0,17976306.84466995,2737280.0,-1.379651754782138,578.978,539.093394866809,60.1397,-0.6631992699197189,1705.47,1619.3323673664572,138.093,-0.6237653800956081
7.0,91759.67205248898,False,264.26,246.15970499383755,21.896,-0.8266484748886755,115.308,99.92662181779978,6.21814,-2.473630085877806,25323000.0,19022386.603297062,3438630.0,-1.8323033873091719,606.622,544.9469149381176,58.7957,-1.0489727150434867,1756.32,1619.3323673664572,152.212,-0.8999791910857404
10.0,110096.08181222866,False,324.568,272.6341439454246,26.0523,-1.993446108580638,96.0145,99.5225853100905,5.94593,0.589997748054637,31985800.0,23239779.942014147,5403030.0,-1.6187250594547602,720.589,609.7896934983979,71.3329,-1.5532707418540692,2123.13,1841.7220362328042,175.943,-1.5994268812467443
13.0,130760.54773040394,False,325.463,302.1520553403491,29.2806,-0.7961225063574839,89.5136,98.94224890607907,8.84765,1.0656670309154495,29856400.0,28378063.472492043,5169070.0,-0.2859966159305169,717.636,685.246982229583,65.1269,-0.4973216561884108,2146.36,2164.87242531532,197.535,0.09371719095512131
17.0,161416.02058157048,False,310.289,332.69526095579783,33.234,0.6741969355418501,88.9112,101.09078246265817,13.9256,0.8746181466262262,27098000.0,35152373.987262025,6942440.0,1.1601647241116992,693.077,726.5958865841568,78.5449,0.42674809674666087,2035.53,2277.857470725432,215.547,1.1242442285229302
21.0,193153.50157892905,False,305.699,368.41811140651464,44.183,1.4195303941904043,96.8107,100.48430089170147,9.9241,0.37016967701871895,28998300.0,42847948.35398924,7991290.0,1.7330929491970937,663.881,788.5773695281694,90.2834,1.3811660784614823,1998.33,2491.6032363517133,277.109,1.7800693458231722
