Day,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,166.621,194.94377243352108,21.5258,1.3157593415120956,147.147,102.84986057605597,17.0425,-2.599216043652282,13113500.0,12279263.303610234,3741230.0,-0.22298460570180567,423.018,409.68081248334624,68.5339,-0.19460715816046842,1282.76,1253.8159105171894,197.455,-0.1465857510967591
2.0,181.712,194.94377243352108,13.2992,0.9949299531942588,101.436,105.43425666243205,5.62976,0.710200197243229,10569200.0,12587814.815957345,1620700.0,1.245520340567252,443.948,409.68081248334624,50.1002,-0.6839730683041931,1322.0,1253.8159105171894,121.015,-0.5634350244416856
3.0,181.407,194.94377243352108,19.1721,0.7060662334079765,107.387,108.22550819719427,4.73479,0.17709511872633685,11191200.0,12921062.837393466,2184520.0,0.7918731974957731,450.36,409.68081248334624,64.4222,-0.6314467298020522,1337.14,1253.8159105171894,163.571,-0.5094062485575724
6.0,245.049,231.13764698248556,18.1031,-0.7684514264139536,115.191,100.19724611109204,6.58083,-2.2783986045693263,21752800.0,16816942.277104586,2737280.0,-1.8031979639990843,578.978,486.87787617594427,60.1397,-1.5314363693875375,1705.47,1489.1228559184392,138.093,-1.5666771239784845
7.0,264.26,235.85522811679823,21.896,-1.2972584893680015,115.308,101.39861988227365,6.21814,-2.2369036589279685,25323000.0,17720375.95800193,3438630.0,-2.210945650447437,606.622,500.8916109779787,58.7957,-1.7982673736688441,1756.32,1586.5901840242223,152.212,-1.1150882714620247
10.0,324.568,258.15319582984245,26.0523,-2.5492875550395757,96.0145,101.57189505102184,5.94593,0.9346553106110974,31985800.0,21265639.11898824,5403030.0,-1.9841016764689001,720.589,547.1202744213773,71.3329,-2.43181933692059,2123.13,1724.4298013196887,175.943,-2.2660759375497252
13.0,325.463,282.5978294002306,29.2806,-1.4639444068690342,89.5136,101.94240251788071,8.84765,1.4047574799953335,29856400.0,25576574.63584224,5169070.0,-0.8279681575520855,717.636,595.5753128169349,65.1269,-1.8741977152768678,2146.36,1821.897129425472,197.535,-1.642558891206764
17.0,310.289,312.2277172211594,33.234,0.058335355995650116,88.9112,103.83154395938355,13.9256,1.07143275402019,27098000.0,31799631.86398663,6942440.0,0.6772304642152658,693.077,645.7557445430238,78.5449,-0.602473941108541,2035.53,2057.204074826722,215.547,0.10055382272414756
21.0,305.699,326.87799513763576,44.183,0.4793471502079024,96.8107,111.63697630602458,9.9241,1.4939668389097835,28998300.0,37473935.849442005,7991290.0,1.0606092194679464,663.881,682.2379865890813,90.2834,0.20332626583714522,1998.33,2189.131307256371,277.109,0.6885424409036562
