Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,68229.8158443616,False,166.621,194.42896532584146,21.5258,1.2918435238570205,147.147,110.12185606704875,17.0425,-2.172518347246662,13113500.0,13078120.224798387,3741230.0,-0.009456722842918795,423.018,392.903588659415,68.5339,-0.43940898359184255,1282.76,1296.0813562154785,197.455,0.06746527672370183
2.0,71829.14411180546,False,181.712,203.07880399024125,13.2992,1.6066232548003838,101.436,106.37586721781966,5.62976,0.8774560936557959,10569200.0,13782315.27633169,1620700.0,1.9825478350908183,443.948,409.1267650211054,50.1002,-0.6950318557389901,1322.0,1349.5767138830954,121.015,0.22787847690860974
3.0,75744.86095393413,False,181.407,212.15912605011977,19.1721,1.6040040501624628,107.387,103.29436986154646,4.73479,-0.8643741619910372,11191200.0,14606627.66135991,2184520.0,1.563468249940449,450.36,428.2564186096144,64.4222,-0.34310503817605753,1337.14,1403.072071550712,163.571,0.4030792227883424
6.0,88942.51143257547,False,245.049,237.65367046916214,18.1031,-0.4085117759299716,115.191,98.0553062247863,6.58083,-2.6038803274379823,21752800.0,17398428.606817495,2737280.0,-1.5907657942126874,578.978,479.3777094468353,60.1397,-1.6561487761522697,1705.47,1576.5382948957247,138.093,-0.9336585134965231
7.0,93632.03494013764,False,264.26,245.93534941582436,21.896,-0.8368948933218683,115.308,96.89381123061351,6.21814,-2.96136606274328,25323000.0,18411442.851691034,3438630.0,-2.0099740734853606,606.622,495.86612451675353,58.7957,-1.8837410811206676,1756.32,1630.0336525633413,152.212,-0.8296740561628427
10.0,108082.66990717055,False,324.568,270.1256241897252,26.0523,-2.0897339509477004,96.0145,94.13739074088419,5.94593,-0.3156964947646226,31985800.0,21579610.225245573,5403030.0,-1.9259914852877789,720.589,543.8011000002093,71.3329,-2.478350102123855,2123.13,1790.519725566191,175.943,-1.8904433505954148
13.0,122536.7578105925,False,325.463,292.88841844516134,29.2806,-1.1124970647745842,89.5136,91.804823251338,8.84765,0.2589640471015463,29856400.0,24741143.562737208,5169070.0,-0.9895893143762402,717.636,589.7685399945146,65.1269,-1.9633586122705873,2146.36,1941.8274462412774,197.535,-1.0354243742056992
17.0,140690.60975649115,False,310.289,320.9284223319955,33.234,0.3201366772580938,88.9112,88.57423450300995,13.9256,-0.024197556801146568,27098000.0,28659832.15583886,6942440.0,0.22496876542524794,693.077,645.9901882446511,78.5449,-0.5994891043893225,2035.53,2124.472021914053,215.547,0.4126340051777717
21.0,156853.72524198962,False,305.699,347.1585497816029,44.183,0.9383597714415703,96.8107,84.81607676001683,9.9241,-1.2086358702535416,28998300.0,32113214.75165912,7991290.0,0.38978872643329443,663.881,698.4872684170756,90.2834,0.38330710204839014,1998.33,2307.11659758683,277.109,1.1143145750835588
