 ,Area,Mean,Min,Max
1,63010,91.540,48,201
2,52682,93.254,47,195
3,56911,92.122,46,171
4,53665,92.979,52,173
5,58250,94.593,48,201
6,59233,92.642,46,211
7,51976,92.845,45,186
8,51636,93.254,44,186
9,60449,90.353,47,176
10,63744,88.722,46,196
11,65659,92.370,45,200
12,88858,78.030,35,175
13,59852,93.914,47,190
14,69526,91.579,46,202
15,64010,91.598,45,180
16,43834,97.186,56,181
17,62809,90.302,44,211
18,70346,100.369,49,221
19,68286,99.362,43,198
20,58041,84.227,43,186
21,51481,86.587,42,174
22,71176,88.611,45,200
23,45142,86.663,45,195
24,62649,94.223,44,205
25,62964,90.740,45,172
26,54138,97.885,54,190
27,57662,109.198,61,212
28,53433,105.131,57,203
29,56929,91.379,49,194
30,62977,89.824,45,179
31,69426,92.844,46,189
32,62586,92.612,49,189
33,51086,94.545,47,226
34,64710,93.514,45,195
35,53977,106.364,57,196
36,58238,101.244,48,205
37,61273,99.804,51,198
38,50402,94.450,49,199
39,36753,92.955,51,163
40,52030,88.018,41,194
41,60626,101.980,54,208
42,63993,98.446,46,221
43,57662,93.218,45,187
44,58026,98.022,49,226
45,47202,94.490,50,213
46,53530,102.565,56,222
47,54558,91.941,45,176
