 ,Area,Mean,Min,Max
1,52290,90.521,56,189
2,55489,98.163,59,220
3,59790,98.100,54,199
4,40890,103.448,71,200
5,46461,96.114,59,209
6,54547,90.994,54,185
7,46834,109.818,77,199
8,31174,99.048,66,168
9,52049,95.976,57,180
10,58569,91.467,55,175
11,68494,95.750,54,190
12,53213,93.240,59,190
13,57063,103.458,63,206
14,41061,104.655,61,197
15,46409,102.658,60,196
16,35826,95.071,57,219
17,48492,95.048,55,190
18,64474,94.643,51,214
19,55754,91.229,49,199
20,46327,87.261,48,219
21,53919,87.890,49,199
22,51207,85.441,48,194
23,57598,78.551,45,158
24,45078,83.781,46,179
25,35864,76.768,47,148
26,54452,87.674,47,173
27,59030,95.846,53,171
28,58021,89.444,44,182
29,61507,88.568,46,186
30,50449,98.916,55,187
31,60235,88.087,49,188
32,53510,89.989,52,180
33,50803,92.457,58,162
34,44228,87.103,53,168
35,52578,99.666,51,212
