 ,Area,Mean,Min,Max
1,52579,81.716,51,208
2,61687,96.060,63,184
3,53410,78.834,49,198
4,55105,97.610,61,174
5,60020,90.791,61,185
6,62986,83.198,48,199
7,50846,94.969,61,195
8,58033,87.446,60,200
9,53272,60.102,31,154
10,41709,61.621,36,150
11,46762,62.214,36,154
12,51398,66.517,36,174
13,55788,54.181,28,139
14,36271,56.373,32,120
15,48930,75.349,46,172
16,51456,71.335,48,134
17,44316,74.190,46,168
18,48384,59.570,34,159
19,56508,82.114,50,176
20,41637,74.701,45,155
21,29285,72.528,50,164
22,49309,76.211,44,182
23,51941,62.690,33,157
24,47137,73.114,45,176
25,55903,64.284,34,139
26,58126,59.702,31,168
27,48026,78.459,44,176
28,55798,73.905,40,167
29,48892,83.320,44,164
