 ,Area,Mean,Min,Max
1,54267,86.699,54,183
2,46579,96.494,58,211
3,60377,82.800,50,199
4,56462,87.599,53,193
5,58456,82.814,51,196
6,57702,83.645,51,194
7,35869,86.495,55,185
8,83785,74.233,46,165
9,45728,92.816,59,177
10,58059,82.052,51,184
11,51541,93.478,59,211
12,53671,84.328,49,184
13,56841,84.923,49,181
14,56610,86.184,54,175
15,45000,83.243,51,173
16,36069,94.761,57,201
17,53761,87.784,53,160
18,43258,82.419,51,169
19,44949,81.450,52,184
20,51913,85.710,52,204
21,48796,92.370,61,181
22,45921,88.701,55,143
23,52331,92.177,55,167
24,57223,86.983,48,186
25,57550,96.087,61,168
26,41510,91.345,55,181
27,54499,94.179,57,231
28,61245,82.149,48,187
29,54994,91.708,56,211
30,45957,96.566,60,195
31,57105,82.348,54,163
32,44820,88.927,53,183
33,46810,100.736,61,228
34,68564,94.545,58,187
35,36874,90.877,59,195
36,47577,104.597,62,224
37,45380,102.136,59,182
38,51657,98.047,63,209
39,50685,108.625,64,225
40,51119,105.123,63,201
