 ,Area,Mean,Min,Max
1,63698,109.663,69,203
2,62033,95.946,58,208
3,57117,100.813,62,212
4,67782,79.313,50,218
5,57853,104.263,64,237
6,59689,95.347,60,208
7,48839,108.603,72,215
8,62726,87.476,53,180
9,42037,107.113,74,207
10,43737,87.454,62,156
11,30009,97.286,67,183
12,45326,96.501,61,207
13,51917,93.256,56,181
14,49605,100.154,68,175
15,55864,96.676,60,223
16,49973,103.717,71,194
17,54444,102.505,66,214
18,50319,100.647,70,191
19,52666,98.178,64,190
20,38078,100.750,79,150
21,33873,90.360,67,165
22,47592,92.318,58,214
23,48993,110.464,70,232
24,78059,83.756,52,212
25,36133,114.428,77,241
26,46044,92.607,63,200
27,57041,86.327,59,151
28,48156,89.085,58,193
29,58152,78.294,48,171
30,65367,84.920,55,180
31,56578,87.397,57,186
32,55756,76.883,48,171
33,42839,93.297,64,145
34,55753,95.750,58,209
35,54501,111.575,68,204
36,43469,86.073,57,167
