 ,Area,Mean,Min,Max
1,46097,108.906,68,187
2,38989,101.926,65,174
3,36069,103.806,66,175
4,39775,101.084,62,173
5,43091,97.609,54,177
6,42940,105.199,64,178
7,44993,96.136,60,174
8,33712,103.286,70,189
9,32755,93.481,62,173
10,42564,85.084,51,150
11,35158,145.637,92,214
12,44659,145.597,93,230
13,39850,149.204,95,230
14,38630,147.215,81,216
15,41989,146.268,92,215
16,45975,158.239,107,228
17,44120,149.776,96,219
18,32186,157.073,102,230
19,44300,157.845,96,229
20,28219,150.800,104,219
21,34422,152.033,94,220
22,37660,142.885,95,216
23,41746,156.667,102,232
24,36111,148.572,94,225
25,33051,164.045,114,230
26,40064,153.951,99,231
27,34753,144.681,93,230
28,142996,114.351,79,160
29,157100,115.062,78,172
30,157322,116.116,74,164
31,170845,117.382,81,166
