 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2000-7-fb-1.png:0163-0206,2.183E5,8.452E1,2.067E1,5.500E1,4.500E1,1.460E2,4.622E2,7.828E2,4.538E2,7.772E2,1.760E3,1.837E2,1.044E3,5.555E2,5.286E2,5.470E2,5.082E2,1.785E2,8.857E-1,5.547E2,1.845E7,8.600E1,4.805E-2,-1.130E0,0.000E0,3.678E6,1.000E0,8.207E1,1.742E2,3.064E0,5.116E2,1.076E0,9.290E-1,9.708E-1
2,2000-7-fb-2.png:0186-0278,2.706E5,1.023E2,2.435E1,1.140E2,5.600E1,2.290E2,6.131E2,7.250E2,6.088E2,7.318E2,1.971E3,3.248E2,1.017E3,5.981E2,5.802E2,6.013E2,5.731E2,1.682E2,8.758E-1,6.407E2,2.768E7,1.020E2,4.302E-1,2.428E-1,0.000E0,5.516E6,1.000E0,1.535E2,1.112E2,1.532E2,5.751E2,1.049E0,9.530E-1,9.746E-1
3,2000-7-fb-3.png:0177-0224,2.443E5,9.475E1,2.196E1,8.600E1,5.000E1,2.130E2,5.045E2,7.483E2,5.192E2,7.523E2,1.836E3,2.195E2,1.033E3,5.645E2,5.712E2,5.858E2,5.311E2,4.967E1,9.107E-1,5.972E2,2.315E7,9.300E1,2.961E-1,-3.325E-1,0.000E0,4.614E6,1.000E0,1.303E2,2.674E2,4.814E1,5.312E2,1.103E0,9.065E-1,9.802E-1
4,2000-7-fb-4.png:0279-0264,2.881E5,9.738E1,2.582E1,6.200E1,4.900E1,2.330E2,5.788E2,5.276E2,5.775E2,5.257E2,2.038E3,2.621E2,8.042E2,6.608E2,5.712E2,6.918E2,5.303E2,1.526E2,8.718E-1,7.161E2,2.806E7,9.800E1,3.395E-1,2.669E-2,0.000E0,5.592E6,1.000E0,1.207E2,1.853E2,1.530E2,5.439E2,1.304E0,7.666E-1,9.822E-1
5,2000-7-fb-5.png:0258-0259,3.112E5,9.554E1,2.521E1,1.000E2,4.500E1,1.910E2,5.791E2,5.520E2,5.808E2,5.536E2,2.091E3,2.486E2,8.669E2,6.630E2,6.003E2,6.716E2,5.899E2,9.675E-1,8.940E-1,6.863E2,2.973E7,9.800E1,1.044E-1,-4.141E-1,0.000E0,5.925E6,1.000E0,1.255E2,1.885E2,1.512E2,5.978E2,1.139E0,8.783E-1,9.834E-1
6,2000-7-fb-6.png:0245-0261,3.112E5,9.704E1,2.526E1,1.010E2,4.600E1,2.120E2,5.866E2,5.843E2,5.932E2,5.894E2,2.101E3,2.867E2,9.430E2,5.981E2,6.944E2,6.958E2,5.695E2,6.757E1,8.860E-1,7.109E2,3.020E7,9.800E1,3.968E-1,3.657E-1,0.000E0,6.019E6,1.000E0,1.795E2,3.908E2,5.941E1,5.803E2,1.222E0,8.185E-1,9.828E-1
7,2000-7-fb-7.png:0266-0339,3.237E5,1.034E2,2.475E1,1.140E2,5.400E1,2.080E2,7.573E2,5.571E2,7.628E2,5.552E2,2.103E3,4.570E2,9.027E2,6.070E2,7.078E2,6.912E2,5.963E2,8.421E1,9.198E-1,7.112E2,3.348E7,1.050E2,9.481E-2,-4.638E-1,0.000E0,6.672E6,1.000E0,3.029E2,1.080E2,9.632E1,6.037E2,1.159E0,8.627E-1,9.863E-1
8,2000-7-fb-8.png:0355-0258,2.651E5,8.711E1,2.233E1,9.600E1,4.100E1,1.960E2,5.892E2,3.503E2,5.962E2,3.522E2,1.903E3,2.957E2,6.608E2,5.645E2,6.227E2,6.081E2,5.551E2,8.949E1,9.200E-1,6.289E2,2.309E7,8.900E1,8.414E-2,-2.039E-1,0.000E0,4.602E6,1.000E0,2.504E2,2.160E2,9.879E1,5.602E2,1.095E0,9.129E-1,9.867E-1
9,2000-7-fb-9.png:0219-0332,1.967E5,9.548E1,2.169E1,8.600E1,5.100E1,1.890E2,7.383E2,6.637E2,7.484E2,6.621E2,1.641E3,4.906E2,9.027E2,5.085E2,4.973E2,5.282E2,4.741E2,1.374E2,9.178E-1,5.392E2,1.878E7,9.300E1,5.710E-1,2.460E-1,0.000E0,3.743E6,1.000E0,2.579E2,1.154E2,1.272E2,4.814E2,1.114E0,8.975E-1,9.847E-1
10,2000-7-fb-10.png:0248-0274,2.633E5,9.428E1,2.276E1,1.030E2,4.900E1,1.920E2,6.151E2,5.872E2,6.236E2,5.879E2,1.907E3,3.248E2,8.781E2,5.802E2,5.802E2,5.897E2,5.685E2,1.531E2,9.102E-1,6.105E2,2.482E7,9.500E1,2.891E-1,-1.837E-1,0.000E0,4.947E6,1.000E0,1.578E2,1.816E2,1.500E2,5.717E2,1.037E0,9.641E-1,9.843E-1
