Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,110923.3560066295,False,348.949,256.58721455156916,27.9898,-3.29983727816672,84.2317,83.10979216417228,6.70588,-0.16730210439610121,32355000.0,17189850.24903699,5410540.0,-2.8028902384906145,757.656,518.0814421068322,41.7818,-5.733945351640373,2283.5,1697.3632657575781,160.53,-3.6512597909575897
2.0,110153.0063705014,False,337.354,262.40835006048655,20.2127,-3.707849517358563,50.3856,72.35176117284726,5.42446,4.049465047736967,17972800.0,15651439.286566362,2192760.0,-1.058647874566135,725.037,529.9176579423792,42.0172,-4.643796875032627,2181.53,1736.1389900340973,134.23,-3.318118229649876
3.0,111720.93876405754,False,294.088,265.29920861646866,17.6983,-1.6266416200161238,48.6361,65.56364400636471,4.00201,4.229760546916352,13210600.0,14497224.52900267,1537590.0,0.8367799797102414,632.43,535.2112313596555,41.2245,-2.358276477345862,1891.91,1763.5575676154442,114.765,-1.1183935205381073
6.0,124183.72869406093,False,270.157,267.32099304742115,20.097,-0.1411159353425301,62.9367,55.101138288276,6.28476,-1.246755916172456,14490500.0,12370195.830284826,2566860.0,-0.826030313190113,576.285,539.4957876133951,42.3959,-0.8677540136335081,1741.42,1774.9147143106163,127.741,0.2622080170862624
7.0,130097.41041819745,False,287.502,267.432866244638,35.9217,-0.558691090771373,61.8894,53.20139807506466,5.48038,-1.585291882120463,16195400.0,11953703.402816318,3761560.0,-1.127642945263051,629.297,539.4957876133951,85.4188,-1.0513050099814665,1855.44,1774.9147143106163,236.039,-0.34115246077717554
10.0,152078.09957087884,False,313.755,268.88298209321846,34.3615,-1.3058806485974574,65.2229,49.64373546293389,5.06809,-3.0739715626727437,20515000.0,11275633.665708562,5227750.0,-1.7673695823808402,708.412,542.8817776790322,79.1774,-2.090624626736516,2052.26,1790.9761451967902,225.984,-1.156205106570421
13.0,179799.20637732392,False,255.64,275.7482494178929,35.4148,0.5677922624974,75.23,47.7978174039222,7.34333,-3.735659788689573,15679400.0,11417827.214319877,4354580.0,-0.9786415189708589,578.91,556.5574475897637,92.3877,-0.24194294706152752,1670.52,1829.7518694733094,234.895,0.6778853082156258
17.0,225443.47070826803,False,301.54,295.38824291109444,31.379,-0.19604694505578837,79.3306,46.56726227857817,10.5907,-3.0935951090505664,22827200.0,12764887.44756207,5265890.0,-1.9108474640446211,694.872,595.7825681926795,85.8214,-1.1546005053205899,1973.34,1962.140473189041,204.482,-0.05477023313034406
21.0,280935.6402815887,False,293.782,324.5323566101597,34.4732,0.8920076062030712,78.408,46.01251687768545,10.0472,-3.224329477099545,21536800.0,15224459.01291086,5567870.0,-1.1337083996374089,662.28,653.6218837630303,76.9809,-0.1124709666549716,1904.56,2149.3662320674653,218.722,1.119257468692977
