Day,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,166.621,187.4428510285049,21.5258,0.9672974304557731,147.147,118.5482773435097,17.0425,-1.6780825968308812,13113500.0,13085275.862547541,3741230.0,-0.0075440797418119074,423.018,398.07704229256433,68.5339,-0.36392147108855094,1282.76,1260.921752220252,197.455,-0.11059860616215297
2.0,181.712,198.26562169587052,13.2992,1.2447080798747692,101.436,110.18781493631988,5.62976,1.5545627053941686,10569200.0,13607497.899582012,1620700.0,1.8746824826198627,443.948,429.76048694726614,50.1002,-0.28318276279802945,1322.0,1370.4679813067896,121.015,0.40051217871164424
3.0,181.407,206.0099087544501,19.1721,1.2832662438882587,107.387,106.24542678822826,4.73479,-0.24110324043341785,11191200.0,14165644.469080744,2184520.0,1.361600932507253,450.36,441.05538806813655,64.4222,-0.1444317631478506,1337.14,1370.4679813067892,163.571,0.20375238463290601
6.0,245.049,241.02740777316373,18.1031,-0.22214936816546757,115.191,98.4575454318687,6.58083,-2.542757458881525,21752800.0,17969323.908727564,2737280.0,-1.3822028039778307,578.978,533.0522793543314,60.1397,-0.7636506441779481,1705.47,1654.3011936344642,138.093,-0.3705387410334762
7.0,264.26,249.53686229214054,21.896,-0.6724122080681152,115.308,99.77626576789346,6.21814,-2.4978103149987847,25323000.0,19518504.471005306,3438630.0,-1.6880256174682051,606.622,534.0763961089395,58.7957,-1.2338590048432183,1756.32,1673.6664139945906,152.212,-0.5430162274026316
10.0,324.568,274.11643184166036,26.0523,-1.9365494853943654,96.0145,102.12333817444149,5.94593,1.0273982664514194,31985800.0,24107102.537639227,5403030.0,-1.4581998364548732,720.589,591.3684079123066,71.3329,-1.8115146319257103,2123.13,1860.6735245216335,175.943,-1.491713085933323
13.0,325.463,297.25218299842675,29.2806,-0.9634644440883477,89.5136,104.32122946574556,8.84765,1.6736228790408259,29856400.0,28958274.123748943,5169070.0,-0.17374999298733754,717.636,652.015517017354,65.1269,-1.0075787882218554,2146.36,1957.4996263222656,197.535,-0.9560856237007848
17.0,310.289,333.6438957833439,33.234,0.7027410418048962,88.9112,103.1518639187661,13.9256,1.0226248002790619,27098000.0,36073918.50170748,6942440.0,1.2929054484745248,693.077,707.4827736320359,78.5449,0.18340813511807771,2035.53,2257.375512472956,215.547,1.0292210630301326
21.0,305.699,369.27612333052537,44.183,1.4389498977101,96.8107,103.78023674764101,9.9241,0.7022840104030609,28998300.0,44459746.86120522,7991290.0,1.9347873573860066,663.881,771.050069444554,90.2834,1.1870296139107963,1998.33,2499.155737543268,277.109,1.8073239683419455
