 ,Area,Mean,Min,Max
1,24032,101.701,58,163
2,22046,100.798,58,161
3,21261,106.092,68,157
4,19627,104.198,57,166
5,25047,98.120,55,160
6,23860,93.232,51,160
7,24736,99.688,69,161
8,20160,104.039,61,163
9,24467,108.497,68,180
10,21639,106.477,58,171
11,24458,105.445,71,161
12,21610,109.218,81,152
13,23650,107.881,67,169
14,18028,93.439,55,146
15,25067,94.925,58,162
16,29452,103.641,45,154
17,23758,102.396,62,162
18,27254,99.750,60,164
19,20432,111.268,72,170
20,28964,109.339,70,172
21,29991,93.994,54,155
22,19924,102.088,57,158
23,25272,104.447,67,159
24,23003,101.168,60,156
25,24347,106.492,71,160
26,23012,106.442,62,163
27,17777,102.465,65,157
28,22491,117.116,73,166
29,23824,91.260,44,161
