 ,Area,Mean,Min,Max
1,23975,101.667,54,161
2,17945,108.704,58,173
3,14164,110.923,64,162
4,23496,108.204,58,174
5,22115,97.446,56,179
6,23283,109.387,61,177
7,19539,103.360,58,171
8,23397,111.140,56,175
9,25190,101.817,66,166
10,23160,105.389,70,163
11,25388,105.266,66,182
12,20453,106.213,59,183
13,24261,109.638,68,172
14,11810,114.564,69,170
15,23720,112.293,69,185
16,23430,112.807,67,177
17,18128,111.590,60,170
18,23175,114.556,68,189
19,28996,103.929,55,173
20,30175,102.395,59,162
21,23696,106.792,58,182
22,25668,106.290,59,175
23,33146,106.711,61,179
24,25840,105.329,56,165
25,30308,108.080,61,171
26,25761,104.676,59,172
27,21925,107.315,61,165
28,27869,110.820,65,172
29,25713,110.782,68,179
30,23783,107.542,53,181
31,25695,110.616,65,191
32,21151,111.481,62,187
33,15711,117.216,72,176
34,22676,113.251,64,187
35,19439,114.073,73,171
