 ,Area,Mean,Min,Max
1,91611,102.340,47,229
2,80033,96.856,49,247
3,73222,96.019,48,246
4,77711,79.495,40,231
5,64941,71.344,40,211
6,74548,88.639,46,238
7,66722,87.121,46,218
8,62425,77.183,44,233
9,46707,105.878,60,227
10,95262,108.741,50,250
11,69907,94.400,49,226
12,61272,74.214,42,214
13,41885,100.463,60,246
14,53442,75.552,48,193
15,58819,95.478,51,245
16,58907,75.771,46,182
17,47463,95.239,61,220
18,37216,121.241,74,247
19,69782,111.418,67,246
20,83390,98.439,56,225
21,71054,101.023,55,234
22,66573,96.028,52,237
23,59341,103.081,60,208
24,71207,83.128,47,214
25,55519,98.044,64,222
26,71339,92.595,52,236
27,94715,92.972,60,206
28,51232,72.668,44,177
29,94703,92.614,47,228
30,61274,98.677,63,220
31,60098,101.855,58,246
32,65532,97.953,55,199
33,49224,99.522,60,202
34,54133,115.755,69,231
35,55536,78.802,46,215
36,61271,91.579,53,192
37,52329,115.701,84,198
38,88367,63.885,32,198
39,95883,95.749,54,233
40,83920,107.865,63,247
