 ,Area,Mean,Min,Max
1,68634,91.002,45,192
2,80208,98.579,48,212
3,86722,88.297,46,204
4,59750,94.757,52,186
5,81700,96.081,56,191
6,63583,94.529,47,197
7,59274,95.386,54,187
8,80883,90.267,47,195
9,76264,96.551,50,203
10,71825,97.828,56,208
11,81953,85.939,43,202
12,67255,96.541,51,202
13,77836,103.492,56,228
14,66592,106.121,73,189
15,58510,100.603,60,209
16,58989,98.207,53,201
17,70403,103.125,58,218
18,69424,111.552,64,210
19,67639,102.920,62,205
20,43518,81.310,50,165
21,53536,97.319,58,198
22,71327,101.188,60,197
23,66000,89.848,47,200
24,56673,105.986,61,226
25,57544,97.096,53,228
26,64064,99.758,59,199
27,70247,97.955,56,213
28,8902,107.762,77,154
29,61944,97.865,55,196
30,48489,101.074,65,175
31,66654,92.563,54,206
32,72176,95.787,49,214
33,83301,95.761,55,224
34,92344,97.742,54,211
35,87168,99.876,53,231
36,64133,113.266,65,204
37,76169,98.621,55,195
38,84303,103.182,59,188
39,70522,100.174,58,217
40,72854,103.583,58,204
