 ,Area,Mean,Min,Max
1,43683,112.806,63,193
2,52668,113.844,59,205
3,40858,109.401,62,184
4,57092,115.650,74,208
5,47562,107.692,60,195
6,46379,108.964,60,186
7,51524,112.971,63,199
8,45373,109.317,62,179
9,37949,109.216,65,211
10,38838,106.953,63,195
11,43707,120.009,72,191
12,46734,116.308,65,196
13,43757,116.246,71,185
14,39702,110.388,70,192
15,41347,114.768,69,190
16,50882,111.627,59,200
17,45083,116.765,72,195
18,37298,118.051,75,189
19,32302,134.609,86,209
20,27049,125.083,86,191
21,34516,127.025,88,170
22,40793,113.093,65,193
23,40082,124.715,80,198
24,41211,112.744,65,182
25,39596,125.030,81,189
26,38813,116.790,75,198
27,40591,115.493,68,201
28,47727,117.328,70,198
29,39657,119.309,57,194
30,39649,123.222,76,199
31,32474,122.084,69,198
32,41091,119.485,73,200
33,39565,121.990,73,192
34,32469,118.876,75,190
35,33870,117.277,75,193
