 ,Area,Mean,Min,Max
1,74895,91.894,44,217
2,76315,87.703,42,200
3,67618,86.165,43,205
4,75217,98.458,52,213
5,79050,94.311,46,205
6,60817,62.997,33,196
7,93392,92.339,46,200
8,83151,77.389,40,188
9,60074,81.104,46,204
10,45531,97.559,56,220
11,86166,87.112,34,220
12,67508,83.243,44,211
13,64608,87.264,43,216
14,74298,72.657,33,199
15,73418,80.442,34,205
16,69854,95.330,55,208
17,76229,98.237,49,212
18,66637,94.275,56,187
19,40912,114.106,68,217
20,82237,88.941,52,206
21,59209,104.003,63,198
22,75760,96.595,60,178
23,54171,107.323,68,196
24,19326,120.201,92,191
25,63809,89.971,47,216
26,64047,97.103,50,201
27,58101,81.322,39,209
28,75804,69.470,33,181
29,66258,101.296,51,219
30,59092,96.551,51,182
31,39491,97.796,55,201
32,65595,97.521,49,214
