 ,Area,Mean,Min,Max
1,67059,111.834,67,218
2,61001,116.951,73,218
3,93729,91.897,51,229
4,74148,105.516,59,219
5,71966,111.169,64,244
6,71578,115.511,77,229
7,73883,117.818,69,223
8,50408,113.180,68,206
9,57108,106.671,63,203
10,95770,110.815,59,249
11,39033,114.034,71,200
12,62182,92.131,55,199
13,92292,101.896,60,220
14,62114,107.485,62,251
15,73053,89.786,51,208
16,53939,108.145,72,218
17,45279,95.312,62,200
18,45889,95.692,59,222
19,63947,89.440,57,230
20,55612,99.701,58,203
21,30025,83.698,51,189
22,73203,110.332,59,248
23,80683,105.334,56,222
24,71092,92.763,49,246
25,92401,88.618,47,235
26,79281,96.373,57,235
27,68519,100.320,61,218
