Day,ModelRadius,ModelArea,ModelGrayMean,ModelIntDen,ModelCircularity,ModelFeret,ModelPerimeter,ModelTotalH,TouchesBoundary
0.0,260.3703790655867,212977.15602717438,110.11053252960745,23451028.066793468,0.8911350516042112,525.9388569363831,1733.004460494758,128286.89869359371,False
0.1,260.9244771152745,213884.60023691948,109.2523250658578,23367389.871664975,0.8949319627742331,526.5423935281668,1733.0044604947582,128151.14328239518,False
0.2,261.69824341452954,215155.02213056263,108.30795143654024,23302999.68824472,0.9002476384122647,528.0052531357408,1733.004460494758,128028.37584057538,False
0.3,261.91889964548034,215517.9998144607,107.74246647578063,23220440.869936828,0.9017664028802739,528.7780698248635,1733.0044604947577,127935.67926679079,False
0.4,262.5797557833538,216606.93286615476,106.89042477157201,23153207.062530667,0.9063226962843002,531.6874621813472,1733.004460494758,127835.61941634142,False
0.5,262.90956092374995,217151.39939200185,106.21286401822391,23064272.05498972,0.892274230055103,533.4765133361601,1748.7876318971541,127747.38105452171,False
0.6,263.7870253938096,218603.310127594,105.29916893221862,23018746.8822677,0.8868841957761223,533.6465863502317,1759.9480194244181,127670.58859127831,False
0.7,264.4432130379996,219692.2431792881,104.58936211508247,22977471.57575332,0.8913020498024042,533.9865698752669,1759.9480194244181,127615.07874905862,False
0.8,264.98879482910775,220599.68738903324,103.86407020584438,22912381.418361872,0.894983594824306,535.2595848014034,1759.9480194244181,127558.34932636647,False
0.9,265.53325563496765,221507.1315987783,103.15540867952295,22849658.68550085,0.8986651398462077,536.0219425644267,1759.9480194244181,127512.0891088666,False
1.0,265.9680217969874,222233.0869665744,102.50986441111051,22781083.61260607,0.9016103758637292,537.290135052896,1759.9480194244181,127475.98223411317,False
1.1,266.51048212354584,223140.53117631946,101.83260400552977,22722981.34886171,0.9052919208856307,538.2182437040561,1759.9480194244181,127449.72691551594,False
1.2,267.2140342193568,224320.20864898813,101.17380800511467,22695329.721519988,0.8986446129132029,539.565370081764,1771.1084069516821,127435.1645823278,False
1.3,267.64607012672775,225046.1640167842,100.57145372241686,22633219.869821448,0.9015528479064494,541.0768782428354,1771.1084069516821,127426.23093918938,False
1.4,268.0774097621412,225772.11938458023,99.98168380363148,22573076.65198484,0.8885538845774552,543.002126930849,1786.8915783540788,127426.36496483572,False
1.5,268.83058879738724,227042.54127822342,99.27449248080723,22539533.056948356,0.893553785857232,543.169217365431,1786.8915783540788,127435.31328071043,False
1.6,269.26003090627387,227768.4966460195,98.7121565318411,22483519.493944004,0.8964108723028187,544.5874161692882,1786.8915783540788,127452.83373035313,False
1.7,269.47449532172135,228131.47432991755,98.30910779250237,22427401.700762354,0.8978394155256121,544.5874161692882,1786.8915783540788,127473.81494924934,False
1.8,270.22378036965466,229401.89622356067,97.6417012313406,22399191.412963916,0.8916663738645166,544.8373033418922,1798.0519658813425,127506.45709117218,False
1.9,271.077570112805,230853.80695915283,96.94933694489394,22381123.51589441,0.8973098319269504,546.5833147410647,1798.0519658813425,127547.04146498918,False
2.0,271.5034581524891,231579.76232694887,96.43457481729646,22332295.916289885,0.900131560958167,547.6613893876382,1798.0519658813425,127595.36401766723,False
2.1,271.7161518460197,231942.74001084693,96.0668589483146,22282010.48870764,0.9015424254737754,548.9853442138419,1798.0519658813425,127641.4027751258,False
2.2,272.1410405369005,232668.695378643,95.57018317977543,22236189.83753628,0.9043641545049923,550.4709871910886,1798.0519658813425,127703.41079301905,False
2.3,272.6712203508632,233576.13958838812,95.0445623508782,22200141.96278598,0.9078913157940134,550.4709871910886,1798.0519658813425,127772.62497534665,False
2.4,273.30607853352905,234665.07264008222,94.49153655455181,22173863.289446887,0.8746598827601588,552.527753387551,1836.155912338267,127848.87253399211,False
2.5,273.7812560789826,235481.77242885283,94.00701935799324,22136939.539173726,0.8884716045593035,552.7740510610262,1824.995524811003,127931.98786996317,False
2.6,274.30826572181076,236389.2166385979,93.56391036758569,22117499.47743757,0.8918953872358326,553.9219921794594,1824.9955248110027,128006.38212747229,False
2.7,274.7291455484933,237115.172006394,93.11647212734859,22079328.30510485,0.8946344133770558,553.9219921794594,1824.995524811003,128101.68072338578,False
2.8,275.35925909537116,238204.1050580881,92.60493989493607,22058876.831631284,0.8987429525888908,555.8843760382632,1824.995524811003,128203.41387844904,False
2.9,275.7785349515974,238930.0604258842,92.17563851904715,22023530.881150395,0.901481978730114,556.1291871376407,1824.995524811003,128311.44039541899,False
3.0,276.19717433483476,239656.01579368027,91.7545028310902,21989518.579629038,0.9042210048713373,557.2702169325182,1824.995524811003,128425.62470545889,False
3.1,276.82394633827045,240744.94884537437,91.31626565687795,21983929.704315696,0.8973212176963268,559.1397109510553,1836.155912338267,128525.38806962185,False
3.2,277.3451743395146,241652.3930551195,90.87685177415452,21960608.70453982,0.9007035064927699,559.8695527988643,1836.155912338267,128650.5271605676,False
3.3,277.55339146669525,242015.37073901753,90.54851927953843,21914133.46330657,0.9020564220113467,559.8695527988643,1836.1559123382672,128781.46817376283,False
3.4,277.8654246079167,242559.83726486456,90.19206092378778,21876971.620256715,0.9040857952892128,561.4880270946928,1836.155912338267,128918.09472010171,False
3.5,278.4884420371595,243648.7703165587,89.78275133815316,21875456.95917838,0.89273115940383,562.5375383415396,1851.939083740663,129036.21239932736,False
3.6,279.11006879729524,244737.7033682528,89.3405523529085,21865001.60050198,0.8967210193341264,563.2629775088451,1851.939083740663,129182.97473939833,False
3.7,279.3169702851578,245100.68105215087,89.03741530579394,21823131.1305733,0.8980509726442252,563.2629775088451,1851.939083740663,129335.11629745793,False
3.8,279.9883442062159,246280.35852481946,88.59437392328506,21819054.17310856,0.8915948597227369,564.8717290249352,1863.0994712679271,129492.53663237566,False
3.9,280.60664825888387,247369.29157651358,88.1761860847297,21812080.68569842,0.895537062492329,565.2732015198425,1863.0994712679271,129655.13901257014,False
4.0,281.0180951781978,248095.24694430968,87.86544568172836,21798999.444280226,0.898165197672057,566.0752923121071,1863.0994712679271,129794.53216863443,False
4.1,281.5315582322961,249002.69115405477,87.49275021843505,21785930.26085984,0.901450366646717,568.0755645955917,1863.0994712679271,129966.39537795728,False
4.2,281.83918705279086,249547.15767990184,87.18842768677601,21757624.31181461,0.9034214680315131,568.0755645955917,1863.0994712679271,130143.18527706,False
4.3,282.0440865251864,249910.13536379984,86.91974365450007,21722124.902482893,0.904735535621377,569.2723543307,1863.0994712679271,130324.81788117882,False
4.4,282.6578937506847,250999.06841549397,86.53508987619529,21720226.94417606,0.9086777383909691,570.8641710816227,1863.0994712679271,130511.21218501816,False
4.5,283.16838340940444,251906.5126252391,86.22028106630317,21719450.320980363,0.9011345720246743,571.4202593289195,1874.2598587951911,130670.12171354318,False
4.6,283.4742359378869,252450.97915108613,85.93725129357918,21694943.234617006,0.888062517083783,571.7377812034357,1890.0430301975875,130865.04478749199,False
4.7,284.1866117341555,253721.40104472925,85.54265228758891,21704001.587489173,0.8925315592258293,573.8764586753316,1890.0430301975875,131064.51512624141,False
4.8,284.5928830091107,254447.35641252535,85.24184727914356,21689562.695898294,0.8950852975927128,573.8764586753316,1890.0430301975875,131268.46200960342,False
4.9,285.0999079665924,255354.80062227044,84.94777009384889,21691820.89562125,0.8982774705513175,574.9033547426977,1890.0430301975875,131441.7879795798,False
5.0,285.40369058656677,255899.2671481175,84.68560107960579,21670983.25426895,0.9001927743264799,574.9033547426977,1890.0430301975878,131653.766131781,False
5.1,285.70715020507623,256443.73367396457,84.42780562493242,21650981.70035742,0.9021080781016431,577.0302996036862,1890.0430301975873,131870.03324269305,False
5.2,286.2626573406673,257441.92230468415,84.10500482265833,21652154.116989892,0.8950183942870612,577.1089247981653,1901.2034177248518,132090.52732373308,False
5.3,286.9681111833007,258712.34419832734,83.74747290366096,21666505.035592027,0.8994351223519254,578.6791853014801,1901.2034177248518,132315.18844405343,False
5.4,287.1693511176986,259075.32188222534,83.55830015447357,21647893.508451838,0.9006970446561721,578.6791853014801,1901.2034177248518,132505.54732964418,False
5.5,287.87258304626897,260345.7437758685,83.21145474162363,21663748.075380024,0.905113772721036,580.3233860027091,1901.2034177248518,132737.69886890642,False
5.6,287.87258304626897,260345.7437758685,83.05646175430604,21623396.310816783,0.905113772721036,580.3233860027091,1901.2034177248518,132973.858111727,False
5.7,288.37384162377333,261253.1879856136,82.77209501827772,21624473.69977318,0.8933740091514175,581.6510014589642,1916.986589127248,133213.9722845571,False
5.8,289.07414339789034,262523.6098792567,82.44102455660287,21642715.368743833,0.8977183079107505,582.8977596747205,1916.986589127248,133457.99030759043,False
5.9,289.3737539223234,263068.0764051038,82.24266111820204,21635418.65880223,0.899580150236179,583.753361330389,1916.986589127248,133664.28504371087,False
6.0,289.872416628798,263975.5206148489,81.9726416774828,21638770.762987982,0.8922637465800883,583.8310811232151,1928.146976654512,133915.33282109728,False
6.1,290.27072999652773,264701.47598264494,81.73262067587359,21634745.328833383,0.8947175485644957,586.0030503954639,1928.1469766545115,134170.14836145795,False
6.2,290.86717733093167,265790.40903433907,81.44667152551082,21647744.13925098,0.8983982515411064,586.157883095278,1928.146976654512,134428.686498778,False
6.3,291.1649428182193,266334.8755601861,81.26184030102281,21642862.12436463,0.9002386030294119,586.2352841101532,1928.1469766545115,134646.94698446844,False
6.4,291.66054307955164,267242.3197699312,81.00908841286395,21649056.709901214,0.9033058555099209,587.3178272701716,1928.1469766545115,134912.19720290377,False
6.5,291.95749941957695,267786.7862957783,80.80911033393572,21639611.959745616,0.905146206998226,589.2459934133774,1928.1469766545122,135181.0495058162,False
6.6,292.3529720010213,268512.74166357436,80.58830405127833,21638986.46682648,0.8929218545379226,590.6303753882449,1943.9301480569084,135453.4638371994,False
6.7,292.9944764665175,269692.419136243,80.3115157153499,21659406.95777111,0.8866349696569982,590.7839953597322,1955.0905355841721,135729.40135841267,False
6.8,293.5853902966481,270781.3521879371,80.07096609863088,21681724.471181743,0.890214922428157,591.9348743635787,1955.0905355841721,135962.01341050366,False
6.9,293.9786729783861,271507.3075557332,79.86185919359328,21683078.366047587,0.8926015576089297,592.6243289611019,1955.0905355841721,136244.31310602263,False
7.0,294.3714302316557,272233.26292352926,79.65617396067039,21685060.149317566,0.8949881927897022,592.6243289611019,1955.0905355841721,136530.03218355242,False
7.1,294.8616411128322,273140.70713327435,79.43089763681219,21695811.54874961,0.8979714867656678,594.9930019141453,1955.0905355841721,136819.1360811482,False
7.2,295.25322381008874,273866.6625010704,79.23220973399896,21699060.842435118,0.9003581219464404,594.9930019141453,1955.0905355841721,137111.5912591044,False
7.3,295.64428785408325,274592.61786886654,79.05410363854708,21707673.27138533,0.902744757127213,595.5265596710425,1955.0905355841721,137357.84039899177,False
7.4,296.1323916829602,275500.06207861163,78.83915548174652,21720192.22944648,0.9057280511031784,597.5041742272308,1955.0905355841721,137656.35573191624,False
7.5,296.4248681904799,276044.52860445867,78.6720152600296,21716979.36681765,0.8972451687094987,597.5041742272308,1966.2509231114364,137958.13256250214,False
7.6,297.3005713337315,277677.9281819999,78.37587984139556,21763251.93380009,0.8882372508188184,600.1560571660282,1982.0340945138323,138263.14095326193,False
7.7,297.591899743989,278222.3947078469,78.23116380482892,21765661.73456134,0.8899788924870905,600.3072394990934,1982.0340945138323,138519.7621645234,False
7.8,297.8829432362815,278766.861233694,78.07289955393728,21764137.156064562,0.8917205341553628,600.6850288627929,1982.0340945138323,138830.62017410487,False
7.9,298.4641788001639,279855.7942853881,77.85320674735452,21787671.011945434,0.895203817491907,601.0625807723909,1982.0340945138323,139144.62951572397,False
8.0,298.75437252821837,280400.2608112352,77.70065109917579,21787282.83341168,0.8969454591601793,601.6661710388603,1982.0340945138323,139461.76340894983,False
8.1,299.3339159876074,281489.19386292924,77.48737479485665,21811858.66555886,0.9004287424967232,602.9467941113293,1982.0340945138325,139781.99583199664,False
8.2,299.6232673514346,282033.66038877633,77.35423606794396,21816498.34481974,0.9021703841649955,603.9993861112549,1982.0340945138325,140051.20485151626,False
8.3,300.3454261896332,283394.82670339395,77.11620500411439,21854333.5531644,0.896401200885602,605.5748436512513,1993.1944820410965,140377.05274701404,False
8.4,300.8259023025685,284302.27091313904,76.93344338141141,21872352.66250267,0.8992715217337788,606.9219808515578,1993.1944820410965,140705.92935049185,False
8.5,301.01787800960153,284665.2485970371,76.81460901101039,21866449.77000348,0.9004196500730494,606.9219808515578,1993.1944820410965,141037.81132666746,False
8.6,301.59307193161766,285754.18164873123,76.61698558272067,21893624.015582986,0.9038640350908617,608.4153016322558,1993.1944820410965,141372.67598753877,False
8.7,301.9759258743113,286480.1370165273,76.4748261030853,21908518.660326976,0.891978051058891,609.6817484695073,2008.9776534434927,141653.99237681367,False
