Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,64402.16660532673,False,166.621,186.10975099852809,21.5258,0.9053670943020968,147.147,113.43669053327181,17.0425,-1.978014344534439,13113500.0,12343595.35945441,3741230.0,-0.20578917643277475,423.018,390.9345620677134,68.5339,-0.4681396787908843,1282.76,1251.756437584097,197.455,-0.1570158386260309
2.0,67246.17097979042,False,181.712,194.29426956174092,13.2992,0.9460922131963523,101.436,108.38248570776295,5.62976,1.2338866501880978,10569200.0,12853723.80077214,1620700.0,1.409590794577738,443.948,409.26946584579946,50.1002,-0.6921835472553107,1322.0,1251.7564375840968,121.015,-0.5804533521952087
3.0,71712.81931620787,False,181.407,198.25986751843806,19.1721,0.8790308583012839,107.387,107.83669829907772,4.73479,0.09497745392672623,11191200.0,13316376.887697669,2184520.0,0.972834713208242,450.36,421.0494091079179,64.4222,-0.454976559199812,1337.14,1333.6874582017924,163.571,-0.021107297737420913
6.0,91624.90779242721,False,245.049,237.55169077762505,18.1031,-0.4141450482168773,115.191,102.95152476073615,6.58083,-1.8598680165364938,21752800.0,18251514.489052724,2737280.0,-1.2791112019768807,578.978,500.64051392519434,60.1397,-1.3025918997734545,1705.47,1531.4864393561027,138.093,-1.2599013754781008
7.0,97472.90804879002,False,264.26,240.80597516508297,21.896,-1.0711556829976718,115.308,105.15833532481632,6.21814,-1.6322669922490787,25323000.0,19157026.196862143,3438630.0,-1.793148376864582,606.622,525.6580028201676,58.7957,-1.3770394294112054,1756.32,1589.4204196244104,152.212,-1.0964942341969721
10.0,116937.35422378486,False,324.568,268.3242900489816,26.0523,-2.1588769494830933,96.0145,105.09878978494268,5.94593,1.5278164702481671,31985800.0,23772100.943487216,5403030.0,-1.5202023783900487,720.589,564.897060390854,71.3329,-2.182610543089459,2123.13,1729.2854205104131,175.943,-2.2384782542618176
13.0,138667.39826273517,False,325.463,293.2717708634322,29.2806,-1.099404695824806,89.5136,106.28056989928217,8.84765,1.8950760822684187,29856400.0,28717343.990069933,5169070.0,-0.22035995061588773,717.636,610.6593073380136,65.1269,-1.6425884336884813,2146.36,1927.0844016647234,197.535,-1.110059474702087
17.0,170106.44809541627,False,310.289,324.7571864241045,33.234,0.4353429146086684,88.9112,108.18823504413417,13.9256,1.3842875742613734,27098000.0,35846557.01398352,6942440.0,1.2601559414245593,693.077,672.5892522070669,78.5449,-0.2608412232103304,2035.53,2206.814403436729,215.547,0.7946499066873083
21.0,203916.08272670335,False,305.699,351.2398280362428,44.183,1.030731911283588,96.8107,111.3709520920694,9.9241,1.467160960900173,28998300.0,43164758.634002425,7991290.0,1.7727373970913864,663.881,734.291254651515,90.2834,0.7798804060493408,1998.33,2404.61338459104,277.109,1.4661500874783568
