Day,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,166.621,188.6931984971545,21.5258,1.0253834234804045,147.147,116.2868443993819,17.0425,-1.810776329800093,13113500.0,13007473.522926882,3741230.0,-0.028340005044629198,423.018,397.4711386592161,68.5339,-0.37276240431062424,1282.76,1215.6710873662196,197.455,-0.3397681123991816
2.0,181.712,194.44151282890954,13.2992,0.9571638015000562,101.436,111.62673647854339,5.62976,1.810154691948393,10569200.0,13258551.606267707,1620700.0,1.6593765695487799,443.948,414.51328070780323,50.1002,-0.5875170017723831,1322.0,1295.2402191340334,121.015,-0.22112780123097636
3.0,181.407,201.85144763911472,19.1721,1.0663645421792456,107.387,108.87022784187403,4.73479,0.31326158961094913,11191200.0,13935505.959615517,2184520.0,1.2562512403711192,450.36,429.5416753718209,64.4222,-0.3231545123913673,1337.14,1323.3721554571066,163.571,-0.08417044918043846
6.0,245.049,233.8640752175497,18.1031,-0.6178458265407752,115.191,105.02766650468786,6.58083,-1.544384750147344,21752800.0,18045985.981422372,2737280.0,-1.3541961430973914,578.978,510.5044533299767,60.1397,-1.1385747961832744,1705.47,1543.6009688402885,138.093,-1.172174050529075
7.0,264.26,247.5874430048606,21.896,-0.7614430487367276,115.308,102.56934162087663,6.21814,-2.0486284289391006,25323000.0,19752618.22112886,3438630.0,-1.6199421801331173,606.622,519.4613550725404,58.7957,-1.48243230248912,1756.32,1679.4339732542492,152.212,-0.5051246074274747
10.0,324.568,271.6241671789035,26.0523,-2.032213386959941,96.0145,103.37504496992783,5.94593,1.237913155709507,31985800.0,23960859.892007962,5403030.0,-1.4852666203948597,720.589,581.2716281363247,71.3329,-1.9530591334948582,2123.13,1815.26697766821,175.943,-1.7497884106317956
13.0,325.463,298.65756220191724,29.2806,-0.915467504015723,89.5136,104.41447008361733,8.84765,1.6841613404256877,29856400.0,29258872.948664173,5169070.0,-0.1155966259570535,717.636,645.2067709663133,65.1269,-1.1121246218334762,2146.36,2007.3638547283176,197.535,-0.7036532526979143
17.0,310.289,333.4968170484938,33.234,0.6983154916198422,88.9112,106.72425193243743,13.9256,1.2791586669470207,27098000.0,37290343.04977624,6942440.0,1.4681211576587254,693.077,713.9313451301881,78.5449,0.2655085833731803,2035.53,2199.4607317884256,215.547,0.7605335810214275
21.0,305.699,372.9838126624044,44.183,1.5228665473689964,96.8107,107.53293653560084,9.9241,1.080424072268603,28998300.0,46997130.98300955,7991290.0,2.2523060711111156,663.881,783.987105760101,90.2834,1.3303232461349601,1998.33,2471.1267406163474,277.109,1.7061760556905317
