 ,Area,Mean,Min,Max
1,38388,85.313,58,182
2,40884,79.319,50,184
3,51429,87.453,55,188
4,44849,81.532,49,181
5,53166,80.811,54,190
6,58867,85.334,51,198
7,54627,88.770,55,230
8,54317,85.083,49,202
9,60950,74.348,44,189
10,61004,74.623,47,209
11,73491,76.805,45,185
12,47149,67.188,40,158
13,64548,74.453,45,182
14,52908,81.910,42,222
15,91545,97.424,47,251
16,50815,84.821,50,182
17,50705,75.134,45,161
18,50230,79.535,48,169
19,65478,88.126,52,187
20,50068,70.977,40,142
21,50873,83.636,50,223
22,53076,77.952,49,188
23,51144,80.280,50,200
24,66287,81.728,46,160
25,51246,87.346,51,238
26,91656,66.272,33,191
27,48867,86.792,59,185
28,67706,80.135,47,154
29,63566,73.246,41,189
