 ,Area,Mean,Min,Max
1,48634,69.638,40,138
2,46653,69.839,37,161
3,53815,74.516,44,138
4,48571,74.635,45,158
5,37835,64.447,40,127
6,43488,72.179,41,149
7,23057,79.712,45,153
8,47753,77.714,46,151
9,46088,63.286,37,143
10,57371,67.720,36,136
11,53336,61.084,34,132
12,49362,61.889,37,131
13,45431,61.018,35,128
14,45287,67.612,37,129
15,53782,61.650,34,140
16,47476,63.816,37,140
17,42663,66.512,37,145
18,51793,73.000,45,143
19,48105,62.279,36,138
20,40403,61.990,36,135
21,51903,68.654,43,149
22,51575,65.788,36,172
23,49617,61.940,34,152
24,54196,70.893,39,154
25,47322,71.461,36,149
26,48308,62.125,35,112
27,52863,66.340,39,134
28,55862,74.372,41,163
29,27612,66.143,43,126
30,36773,80.015,50,157
31,51045,73.867,44,142
32,54416,75.137,43,153
33,45397,77.534,47,143
34,50981,67.670,39,136
35,50553,77.503,42,172
36,51394,72.227,41,163
