 ,Area,Mean,Min,Max
1,80520,86.739,44,211
2,78947,93.688,51,195
3,85394,89.742,44,224
4,66734,99.011,57,210
5,53947,104.880,56,199
6,80843,89.962,43,187
7,62509,100.046,54,188
8,51881,99.659,63,188
9,59656,67.948,35,150
10,74982,69.156,32,153
11,62242,73.500,37,178
12,59347,70.532,34,164
13,81024,75.639,35,156
14,69221,76.043,36,164
15,62670,73.904,36,175
16,65859,73.818,34,162
17,69758,71.539,31,174
18,69388,74.709,39,183
19,75016,73.447,35,144
20,54930,77.813,45,174
21,67392,77.679,37,177
22,76733,72.951,36,179
23,74930,77.935,41,198
24,64254,84.855,42,170
25,60118,95.112,54,159
26,59257,97.311,53,194
27,57337,90.196,47,188
28,60478,100.967,58,205
29,69141,92.459,52,212
30,54684,94.759,55,192
31,70723,103.920,57,197
32,70898,95.062,51,189
