 ,Area,Mean,Min,Max
1,66402,60.937,31,208
2,67194,65.034,34,151
3,56486,62.931,32,147
4,59970,70.909,39,161
5,63349,70.048,36,184
6,78664,48.009,24,112
7,73702,76.518,40,188
8,44390,55.143,31,148
9,68795,53.407,25,141
10,94385,52.300,22,170
11,68042,62.949,33,197
12,79554,66.496,31,194
13,46083,58.821,32,137
14,111584,48.037,24,127
15,51009,66.478,36,171
16,50004,66.281,36,140
17,65376,52.450,26,140
18,59394,54.182,26,165
19,65903,63.963,37,197
20,59139,62.537,33,141
21,62994,58.955,32,146
22,60131,54.247,29,175
23,67689,67.881,33,174
24,58098,63.583,35,176
25,53729,63.210,32,160
26,64489,62.767,39,149
27,51644,72.657,46,180
28,70181,65.513,37,156
29,63331,77.304,44,184
30,58454,74.737,45,186
31,97754,65.948,36,153
32,79292,77.729,42,207
33,63426,71.393,42,202
34,119942,56.359,26,186
35,85573,75.561,35,201
36,101410,73.179,36,188
37,82493,70.867,35,187
38,78056,65.697,33,165
39,70087,70.575,37,156
40,85439,61.537,31,165
