 ,Area,Mean,Min,Max
1,60977,75.123,42,186
2,40242,65.291,39,121
3,59338,71.784,39,152
4,80355,83.498,44,199
5,63245,73.646,37,150
6,57951,74.874,43,146
7,57490,70.326,40,144
8,63474,79.556,42,189
9,61292,70.739,39,181
10,44522,73.128,37,146
11,74231,64.192,37,175
12,79052,66.792,36,164
13,59199,63.375,34,124
14,68120,71.609,39,141
15,67664,68.168,35,147
16,76077,70.530,37,188
17,60329,68.697,40,144
18,61896,66.245,40,197
19,57874,63.964,35,136
20,50662,68.764,40,175
21,59127,72.839,38,156
22,65045,75.329,37,190
23,59127,66.260,34,178
24,53146,77.733,43,160
25,45550,76.403,42,154
26,62752,78.959,36,180
27,68421,73.753,43,181
28,51286,68.760,40,172
29,60608,70.306,39,168
30,66045,73.024,44,173
31,83524,83.131,42,206
32,46160,71.901,43,197
33,54908,69.625,39,124
34,40919,68.893,38,160
35,59159,76.197,44,173
