 ,Area,Mean,Min,Max
1,61947,78.263,46,171
2,61317,74.372,43,170
3,63840,69.938,40,169
4,54396,77.672,41,168
5,52153,65.989,41,134
6,43400,75.561,45,157
7,49239,77.455,46,164
8,57708,86.375,54,172
9,47649,92.688,60,163
10,40096,96.739,54,164
11,56819,83.299,49,159
12,39357,84.062,51,151
13,53133,75.875,43,153
14,53150,79.361,46,149
15,43794,82.129,52,153
16,46296,70.958,43,131
17,52318,71.294,44,142
18,36375,90.248,58,155
19,28060,99.353,66,152
20,46985,90.509,57,162
21,40292,88.972,57,150
22,30861,101.098,64,162
23,46032,82.944,50,154
24,39536,84.751,50,178
25,47044,85.585,56,164
26,36725,73.369,46,135
27,63461,71.124,41,157
28,57405,69.073,39,168
29,56038,67.869,37,139
30,64918,65.908,38,138
31,59858,62.863,37,147
32,59664,64.947,40,147
33,62807,62.633,37,134
34,57644,64.997,37,136
