 ,Area,Mean,Min,Max
1,71084,76.480,39,196
2,64667,83.069,44,197
3,66627,75.960,41,182
4,20298,118.672,76,189
5,61294,78.010,41,189
6,60303,79.225,43,205
7,61917,79.264,42,149
8,53823,81.466,45,191
9,71612,71.901,37,161
10,68850,75.430,41,144
11,59567,71.777,38,172
12,81571,70.541,38,208
13,67252,67.820,36,155
14,59281,73.506,41,173
15,68882,66.595,33,128
16,67395,75.515,41,176
17,78834,75.063,37,174
18,64287,79.170,49,168
19,64536,78.562,44,188
20,66734,75.031,39,204
21,82530,83.349,41,184
22,67137,80.454,43,202
23,69457,82.683,43,179
24,52389,81.407,42,182
25,68591,79.617,40,185
26,65597,79.164,41,168
27,68369,78.461,42,177
28,65761,85.613,45,182
29,64348,79.938,44,182
30,67227,79.806,39,222
31,64051,82.335,43,190
32,78066,80.005,35,208
33,71755,79.955,37,199
34,55307,79.322,42,174
35,74364,80.534,39,210
36,73283,84.164,39,201
