Day,ModelTotalH,TouchesBoundary,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,123189.1118397816,False,256.407,254.04743733896137,16.5358,-0.14269419447735274,129.833,98.721103056076,26.4267,-1.1772902762707411,26945600.0,20016563.0450596,6745240.0,-1.0272483936732275,596.174,535.1360038241949,42.8492,-1.424483915121055,1808.81,1636.7210204299652,152.724,-1.1267972261729315
2.0,128519.61252139426,False,247.778,259.2326134158883,16.2437,0.7051726771541154,93.7789,98.93408920982624,6.90753,0.7463144148235689,18107800.0,20886953.938419715,2294480.0,1.2112347627435038,565.289,550.5387452662865,36.67,-0.4022431070006413,1675.33,1743.8490683823882,104.883,0.6532905083034262
3.0,134066.1118966642,False,257.646,269.3036255573013,16.2341,0.71809497029717,92.6729,97.07492881935804,3.74777,1.1745728311390606,19354700.0,22117770.832979195,2105570.0,1.3122673826940898,586.865,572.8668791395168,39.0849,-0.35814651848880913,1764.53,1743.8490683823882,112.673,-0.18354824685250062
6.0,143416.9336279684,False,305.909,283.7407003905516,16.8313,-1.317087783442064,97.1112,94.59772984898724,6.22265,-0.40392279029236006,28607100.0,23926207.227509346,3370490.0,-1.388787022804,681.324,601.3494791848966,38.9359,-2.05400467987393,2047.12,1895.3510067072598,101.285,-1.4984350426296107
7.0,143547.2857067314,False,308.194,283.7407003905516,22.4752,-1.0880125475834892,94.044,94.13238586410725,5.81852,0.015190437449257221,28159400.0,23808509.724280804,3942410.0,-1.1036118201098302,678.306,601.3494791848966,58.269,-1.3207111983233526,2046.51,1895.3510067072598,151.117,-1.0002778859608132
10.0,143892.78478762004,False,289.622,283.7407003905516,27.1112,-0.21693247106171742,90.1623,92.62067115877456,7.22639,0.34019353491502036,23849000.0,23426158.061440658,4157440.0,-0.10170728586806838,638.297,601.3494791848966,63.2171,-0.584454535483333,1925.41,1895.3510067072598,174.197,-0.17255746822700904
13.0,144014.7027695365,False,289.246,292.97044208929424,26.5666,0.14019265127243444,93.2029,87.76610551981074,6.89499,-0.7885137585680709,24696500.0,23665970.192428265,4718490.0,-0.2184024566273819,643.818,621.8558894885688,64.758,-0.339141272297341,1920.5,1895.3510067072602,177.17,-0.1419483732727875
17.0,145200.28874718898,False,278.055,301.918159138983,25.3596,0.9409911488739179,72.6525,83.75908528410729,11.5988,0.957563306903066,17804700.0,23986134.69956216,4409620.0,1.4018066635134452,658.896,621.8558894885688,76.9655,-0.4812560239513961,1870.36,2002.479054659683,157.832,0.8370866152597897
21.0,147287.59245741036,False,289.638,301.918159138983,29.2188,0.4202828021336618,95.5133,83.02726520053363,9.26793,-1.3472301581330854,25270800.0,23776562.985151697,4716100.0,-0.3168374323802089,666.372,621.8558894885688,64.5517,-0.6896194912206988,1934.44,2002.479054659683,184.5,0.36877536400912175
