 ,Area,Mean,Min,Max
1,58188,102.616,56,204
2,55317,112.272,69,193
3,50699,109.152,68,185
4,72129,105.726,62,205
5,54278,104.166,62,187
6,58112,103.092,59,194
7,45944,100.507,56,181
8,45798,101.574,47,193
9,75207,94.588,47,191
10,75609,92.833,47,198
11,61007,94.413,50,208
12,72819,100.101,51,180
13,61503,100.096,53,194
14,56261,103.223,56,192
15,53116,102.380,58,196
16,68762,108.302,60,195
17,45978,110.800,71,170
18,56448,114.511,75,191
19,44556,111.097,67,175
20,59188,115.181,68,182
21,46323,106.999,67,179
22,56338,114.985,66,201
23,50772,116.465,69,183
24,43154,109.624,65,201
25,58929,113.924,68,195
26,48375,104.900,66,178
27,67390,102.417,60,180
28,52851,102.940,61,172
29,57928,101.576,59,200
30,46144,100.871,57,174
31,45909,101.232,51,189
32,45622,105.334,65,188
