 ,Area,Mean,Min,Max
1,68939,76.682,42,184
2,68710,64.238,33,198
3,38742,90.201,52,225
4,55599,80.522,46,194
5,59691,69.388,39,198
6,49860,90.659,57,172
7,50308,102.372,64,178
8,34925,93.477,59,177
9,48572,76.599,50,226
10,56359,84.303,55,180
11,66068,73.621,43,195
12,61752,90.058,52,213
13,65694,72.207,43,157
14,44566,85.895,57,207
15,69666,69.899,44,166
16,64862,86.927,59,168
17,48181,82.400,52,148
18,60903,73.189,47,156
19,50286,70.403,46,131
20,54865,87.452,55,171
21,32608,71.198,47,138
22,58593,100.422,62,224
23,59527,107.194,62,198
24,51282,106.525,66,204
