 ,Area,Mean,Min,Max
1,72831,87.722,46,188
2,88861,85.071,45,197
3,62264,104.716,64,200
4,60850,93.898,49,210
5,71555,81.588,43,191
6,85083,77.317,36,183
7,81057,88.393,45,209
8,50574,87.013,50,162
9,56418,83.751,47,191
10,30616,113.393,67,203
11,69079,80.922,43,191
12,67401,81.519,45,188
13,70751,70.138,35,192
14,74404,83.041,45,185
15,46328,103.123,58,214
16,71778,89.464,48,213
17,47948,96.239,54,201
18,22834,122.136,87,174
19,67072,83.887,47,187
20,76716,74.886,40,155
21,70014,79.036,45,184
22,75256,83.119,45,205
23,77895,81.844,45,191
24,96564,78.637,38,186
25,85204,75.935,42,180
26,92955,78.949,45,207
27,65935,91.240,52,161
28,75690,90.754,52,168
29,72273,99.678,59,183
30,76713,89.678,47,186
31,62366,99.455,54,181
32,75182,90.505,47,188
33,78199,86.567,50,205
34,59226,104.990,64,215
35,74166,91.491,50,218
36,65545,95.362,48,209
37,63144,109.876,69,197
38,40703,107.486,67,224
39,35272,102.315,59,212
40,47101,114.208,70,222
41,73243,99.516,57,209
42,36646,107.498,68,205
