 ,Area,Mean,Min,Max
1,34746,109.759,68,237
2,64555,87.626,52,247
3,34527,90.758,58,219
4,39571,110.730,61,251
5,57806,115.016,67,249
6,60278,75.738,45,233
7,102221,57.816,23,146
8,87802,83.467,41,191
9,79783,73.766,35,196
10,80172,67.208,33,195
11,69056,90.937,55,188
12,87952,59.665,31,196
13,67066,82.565,47,189
14,47076,72.620,42,241
15,56444,71.965,43,182
16,82194,84.211,46,188
17,73873,81.603,46,177
18,72585,66.690,34,167
19,92113,66.105,33,187
20,57567,94.052,58,199
21,61859,88.884,54,207
22,44906,70.044,48,172
23,42932,92.439,61,207
24,66815,96.403,60,224
25,53350,83.292,51,190
