 ,Area,Mean,Min,Max
1,33096,96.876,47,151
2,36695,98.201,60,157
3,23817,106.974,69,162
4,37277,102.930,65,168
5,28759,105.967,71,163
6,30521,109.105,70,168
7,29726,90.759,52,163
8,34300,95.349,60,159
9,32480,86.556,51,145
10,21346,98.394,64,137
11,22209,99.030,73,134
12,30270,98.415,55,181
13,28853,102.211,59,157
14,28152,108.515,66,181
15,29043,108.697,64,175
16,29666,97.843,58,170
17,34042,103.145,56,172
18,34304,105.947,70,168
19,34885,96.764,54,160
20,34840,99.074,62,155
21,39280,105.565,70,161
22,38868,107.712,76,161
23,39073,100.700,61,175
24,25767,85.549,51,154
25,30568,92.597,55,170
26,47080,99.538,60,175
27,28409,103.347,60,165
28,30883,101.975,46,162
29,37991,104.713,60,173
30,21161,107.847,62,171
31,33021,107.541,77,165
