 ,Area,Mean,Min,Max
1,53502,93.439,47,215
2,47864,76.950,46,173
3,42921,73.493,44,173
4,45165,78.046,45,170
5,50284,92.022,49,198
6,50494,89.957,51,200
7,64266,77.564,44,182
8,35467,109.299,61,210
9,76851,79.936,44,216
10,68943,72.564,38,173
11,76737,70.853,36,149
12,71178,76.535,41,170
13,70174,85.429,42,208
14,67552,70.942,37,181
15,63396,82.049,41,183
16,46093,86.293,52,158
17,70615,82.777,40,193
18,62823,73.735,40,185
19,82129,72.224,39,201
20,87072,69.645,38,182
21,76251,74.386,39,174
22,53325,71.081,39,165
23,85179,69.092,36,174
24,61430,82.472,44,207
25,57589,68.235,39,145
