Day,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,166.621,193.00002280127092,21.5258,1.2254607401941349,147.147,108.13216133066265,17.0425,-2.2892673416070024,13113500.0,12653756.618739888,3741230.0,-0.12288562351422178,423.018,405.4079863524737,68.5339,-0.25695332744125565,1282.76,1298.0997486653941,197.455,0.0776873144027457
2.0,181.712,201.48755373848655,13.2992,1.4869731817317255,101.436,108.82585147754428,5.62976,1.3126405881501644,10569200.0,13879646.166671483,1620700.0,2.0426026819716685,443.948,424.4216964253957,50.1002,-0.389745022467062,1322.0,1298.099748665394,121.015,-0.1974982550477716
3.0,181.407,205.59996854725856,19.1721,1.2618841205323645,107.387,108.93868603066646,4.73479,0.32772013767589686,11191200.0,14466987.065323023,2184520.0,1.4995454678020907,450.36,436.6377641273213,64.4222,-0.21300476967068352,1337.14,1383.0640708597302,163.571,0.28075924741995917
6.0,245.049,241.19580891926515,18.1031,-0.21284703065965824,115.191,104.29987587964379,6.58083,-1.6549772779962726,21752800.0,19062206.877852727,2737280.0,-0.9829440620423462,578.978,505.0543991871235,60.1397,-1.2291980307995622,1705.47,1588.1860898191344,138.093,-0.8493110453163132
7.0,264.26,246.34647830421682,21.896,-0.8181184552330643,115.308,106.01299459634518,6.21814,-1.4948208634181326,25323000.0,20211646.381344568,3438630.0,-1.4864505976669289,606.622,519.1755406924739,58.7957,-1.4872934467576044,1756.32,1588.1860898191344,152.212,-1.1046035147088638
10.0,324.568,272.1754754084277,26.0523,-2.0110517916488098,96.0145,105.38792150884694,5.94593,1.5764432996767446,31985800.0,24526675.904906143,5403030.0,-1.3805446379335036,720.589,562.9188796336933,71.3329,-2.2103422174944063,2123.13,1793.3081087785383,175.943,-1.874595131499757
13.0,325.463,298.5741184527411,29.2806,-0.9183173004398443,89.5136,105.42257329005467,8.84765,1.79810156256799,29856400.0,29524857.007384095,5169070.0,-0.06413977613301902,717.636,620.6847906737955,65.1269,-1.488650762222744,2146.36,1998.4301277379425,197.535,-0.7488792986663511
17.0,310.289,322.82118735587875,33.234,0.37708934693021484,88.9112,110.77261231200197,13.9256,1.5698722002644034,27098000.0,36266557.33790201,6942440.0,1.3206534500697176,693.077,681.2784411420852,78.5449,-0.15021419414774004,2035.53,2083.3944499322783,215.547,0.22206038558772973
21.0,305.699,353.75122394811154,44.183,1.0875726851529215,96.8107,113.19141243632025,9.9241,1.6505992922602808,28998300.0,44499922.458163336,7991290.0,1.9398147806128092,663.881,747.5353907036438,90.2834,0.926575546597091,1998.33,2288.516468891683,277.109,1.0471925086939906
