Day,EmpiricalRadius,ModelRadius,StdRadius,ResidualRadius,EmpiricalGrayMean,ModelGrayMean,StdGrayMean,ResidualGrayMean,EmpiricalIntDen,ModelIntDen,StdIntDen,ResidualIntDen,EmpiricalFeret,ModelFeret,StdFeret,ResidualFeret,EmpiricalPerimeter,ModelPerimeter,StdPerimeter,ResidualPerimeter
1.0,166.621,187.3169261426961,21.5258,0.9614474789645957,147.147,111.09114334161319,17.0425,-2.115643635522183,13113500.0,12245692.62244465,3741230.0,-0.23195777259226238,423.018,397.8096124822582,68.5339,-0.36782362477170794,1282.76,1260.0746597502489,197.455,-0.1148886594401312
2.0,181.712,205.02603865458045,13.2992,1.7530406832426353,101.436,112.04144950326831,5.62976,1.8838191154273545,10569200.0,14796078.705980912,1620700.0,2.6080574480045113,443.948,434.52455497068337,50.1002,-0.18809196428989525,1322.0,1369.5472952251182,121.015,0.3929041459746164
3.0,181.407,218.16075057595145,19.1721,1.9170435464008346,107.387,109.2897905105473,4.73479,0.40187431977918875,11191200.0,16341153.307257315,2184520.0,2.3574759248060513,450.36,449.34212631593044,64.4222,-0.01580004538916042,1337.14,1446.9561381237618,163.571,0.671366795604121
6.0,245.049,236.49898084362226,18.1031,-0.47229585852023925,115.191,104.11082314671427,6.58083,-1.6837050726558407,21752800.0,18293815.72185812,2737280.0,-1.2636574548975181,578.978,499.9297861208536,60.1397,-1.3144098470585384,1705.47,1633.8376164972744,138.093,-0.5187256667805435
7.0,264.26,247.9721849432815,21.896,-0.7438717143185285,115.308,101.10133096009524,6.21814,-2.2847136024445844,25323000.0,19530469.4775629,3438630.0,-1.6845460321224148,606.622,512.8611397449542,58.7957,-1.5946890717356152,1756.32,1633.8376164972744,152.212,-0.8046828338286437
10.0,324.568,272.0233202831316,26.0523,-2.0168921637194552,96.0145,98.54385976410376,5.94593,0.4253934647908333,31985800.0,22908239.553186074,5403030.0,-1.6800869968913603,720.589,565.4901988266301,71.3329,-2.174295467776719,2123.13,1820.7190948707873,175.943,-1.7188004361026739
13.0,325.463,289.3509128505334,29.2806,-1.2333110369823916,89.5136,100.8842446364988,8.84765,1.285159860132217,29856400.0,26535234.680959184,5169070.0,-0.6425073212475003,717.636,595.5701905972556,65.1269,-1.8742763651078789,2146.36,1898.1279377694302,197.535,-1.2566485039642084
17.0,310.289,324.97737574173823,33.234,0.4419683378990865,88.9112,100.8898256720743,13.9256,0.860187401050892,27098000.0,33473683.000046913,6942440.0,0.9183634284267365,693.077,681.0605690209529,78.5449,-0.15298804860719248,2035.53,2143.066048316926,215.547,0.49889837630273615
21.0,305.699,364.7671521477911,44.183,1.336897724187834,96.8107,101.40705627724506,9.9241,0.46315094338479706,28998300.0,42388641.04808494,7991290.0,1.6756169589747008,663.881,762.7019845011578,90.2834,1.094564277609813,1998.33,2458.7723728899687,277.109,1.661592993695509
