 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1000-2-fb-1.png:0306-0256,1.451E5,9.484E1,1.268E1,9.400E1,4.700E1,1.510E2,5.703E2,4.662E2,5.760E2,4.631E2,1.552E3,2.934E2,6.541E2,5.622E2,3.920E2,5.871E2,3.146E2,1.577E2,7.573E-1,5.801E2,1.376E7,9.400E1,1.767E-1,4.980E-1,0.000E0,2.742E6,1.000E0,1.377E2,2.473E2,1.575E2,3.214E2,1.866E0,5.358E-1,9.624E-1
2,1000-2-fb-2.png:0240-0265,1.621E5,9.587E1,1.290E1,9.700E1,6.000E1,1.560E2,5.853E2,6.006E2,5.862E2,6.049E2,1.637E3,3.427E2,8.355E2,5.018E2,4.592E2,5.108E2,4.040E2,1.364E2,7.599E-1,5.408E2,1.554E7,9.500E1,5.425E-1,1.047E0,0.000E0,3.097E6,1.000E0,1.742E2,1.700E2,1.469E2,4.041E2,1.265E0,7.908E-1,9.551E-1
3,1000-2-fb-3.png:0342-0270,1.004E5,1.052E2,1.214E1,9.700E1,6.900E1,1.620E2,5.908E2,3.711E2,5.951E2,3.701E2,1.284E3,3.965E2,5.398E2,4.166E2,3.248E2,4.097E2,3.121E2,1.790E2,7.654E-1,4.188E2,1.057E7,1.040E2,6.625E-1,1.920E0,0.000E0,2.107E6,1.000E0,1.779E2,3.802E2,9.782E0,3.135E2,1.313E0,7.617E-1,9.466E-1
4,1000-2-fb-4.png:0229-0249,1.720E5,1.021E2,1.284E1,9.700E1,6.500E1,1.690E2,5.675E2,6.375E2,5.677E2,6.395E2,1.677E3,3.450E2,9.162E2,4.278E2,5.690E2,5.599E2,3.912E2,9.227E1,7.685E-1,5.687E2,1.757E7,1.000E2,5.078E-1,9.912E-1,0.000E0,3.502E6,1.000E0,2.520E2,3.558E2,8.545E1,4.091E2,1.431E0,6.987E-1,9.553E-1
5,1000-2-fb-5.png:0270-0250,1.253E5,1.042E2,1.265E1,9.800E1,7.100E1,1.600E2,5.472E2,5.404E2,5.487E2,5.422E2,1.395E3,3.315E2,7.325E2,4.592E2,3.875E2,4.337E2,3.678E2,1.162E1,8.089E-1,4.596E2,1.306E7,1.030E2,6.043E-1,9.050E-1,0.000E0,2.603E6,1.000E0,1.483E2,2.806E2,5.034E0,3.761E2,1.179E0,8.482E-1,9.654E-1
6,1000-2-fb-6.png:0341-0263,8.432E4,1.128E2,1.330E1,1.110E2,7.300E1,1.710E2,5.987E2,3.926E2,5.996E2,3.927E2,1.206E3,4.054E2,5.488E2,3.674E2,3.382E2,3.454E2,3.108E2,3.042E1,7.290E-1,3.713E2,9.507E6,1.120E2,3.609E-1,7.028E-1,0.000E0,1.895E6,1.000E0,1.811E2,3.304E2,1.030E1,3.254E2,1.111E0,8.998E-1,9.316E-1
7,1000-2-fb-7.png:0368-0239,1.444E5,1.086E2,1.400E1,9.800E1,7.000E1,1.680E2,5.308E2,3.308E2,5.318E2,3.294E2,1.562E3,2.845E2,4.995E2,5.040E2,3.606E2,5.131E2,3.584E2,2.383E-1,7.436E-1,5.030E2,1.569E7,1.070E2,6.120E-1,5.662E-1,0.000E0,3.127E6,1.000E0,1.276E2,3.706E2,5.684E0,3.592E2,1.432E0,6.985E-1,9.529E-1
8,1000-2-fb-8.png:0240-0252,1.483E5,9.054E1,1.401E1,8.300E1,5.200E1,1.630E2,5.652E2,6.079E2,5.639E2,6.075E2,1.683E3,3.472E2,8.400E2,4.368E2,4.682E2,4.815E2,3.922E2,5.841E1,6.579E-1,4.972E2,1.343E7,8.800E1,1.044E0,2.323E0,0.000E0,2.677E6,1.000E0,1.853E2,3.283E2,4.955E1,4.162E2,1.228E0,8.146E-1,9.436E-1
9,1000-2-fb-9.png:0252-0315,1.740E5,9.599E1,1.311E1,9.600E1,6.000E1,1.600E2,6.887E2,5.799E2,6.875E2,5.803E2,1.708E3,4.346E2,8.333E2,5.421E2,5.085E2,5.470E2,4.050E2,3.890E1,7.490E-1,5.610E2,1.670E7,9.400E1,7.639E-1,1.276E0,0.000E0,3.328E6,1.000E0,2.054E2,3.113E2,2.342E1,3.980E2,1.351E0,7.404E-1,9.515E-1
10,1000-2-fb-10.png:0232-0183,1.623E5,8.682E1,1.333E1,8.200E1,5.100E1,1.450E2,4.067E2,6.126E2,4.096E2,6.147E2,1.630E3,1.635E2,8.512E2,4.950E2,4.525E2,4.804E2,4.302E2,2.281E1,7.675E-1,5.043E2,1.409E7,8.500E1,6.976E-1,8.253E-1,0.000E0,2.809E6,1.000E0,7.519E1,2.706E2,1.374E1,4.440E2,1.117E0,8.954E-1,9.476E-1
