 ,Area,Mean,Min,Max
1,30682,63.551,43,152
2,31582,71.766,47,202
3,43245,55.912,38,106
4,45166,53.362,35,151
5,39396,52.257,36,125
6,37278,52.100,37,82
7,31660,57.107,44,85
8,33919,61.623,43,130
9,63727,65.679,38,183
10,56325,53.842,35,97
11,43899,57.801,40,90
12,60359,56.971,34,125
13,58790,49.973,29,123
14,64178,60.153,38,217
15,59070,55.652,36,133
16,50582,59.008,41,92
17,58021,66.604,40,167
18,41172,61.710,42,114
19,42844,62.325,42,111
20,43859,60.809,39,132
21,42104,66.145,48,120
22,46650,72.667,47,182
23,59694,75.140,48,152
24,40137,66.884,45,139
25,52011,44.623,29,71
26,32166,65.019,45,104
27,33662,63.678,46,117
28,31531,64.801,43,122
29,31605,57.910,43,105
30,44802,58.687,38,109
31,42273,59.120,41,100
32,37581,62.998,45,127
33,46279,62.189,44,136
