 ,Area,Mean,Min,Max
1,45253,65.869,43,191
2,31448,68.258,46,127
3,31631,64.069,44,105
4,39765,66.948,44,127
5,30437,62.710,47,155
6,22724,68.749,47,132
7,24690,71.085,48,176
8,64141,79.443,52,207
9,29352,92.456,64,210
10,41708,75.774,49,220
11,34997,69.898,50,136
12,26783,81.565,60,175
13,36810,74.659,54,168
14,55832,89.871,59,168
15,39301,70.515,48,181
16,46912,88.132,59,205
17,52708,78.056,51,195
18,53903,85.976,54,178
19,50085,81.988,56,171
20,40463,79.298,50,182
21,61521,77.597,45,177
22,94370,95.926,56,215
23,34149,83.085,58,119
24,50341,78.606,51,218
25,52420,78.475,50,193
26,57004,80.273,52,152
27,40586,69.952,50,111
28,46351,80.766,53,162
29,35823,74.984,55,117
30,42076,72.046,55,117
31,71116,89.205,55,206
32,110633,70.944,43,216
