 ,Area,Mean,Min,Max
1,79671,107.333,68,201
2,111524,99.297,57,217
3,96764,86.993,47,208
4,87677,114.892,71,225
5,77884,116.368,78,209
6,115856,94.786,45,238
7,57170,87.316,49,250
8,53851,83.098,51,208
9,57000,78.237,45,188
10,54254,91.945,58,221
11,100219,118.298,72,227
12,114355,100.516,54,229
13,28345,78.524,52,159
14,47940,87.327,54,208
15,47835,62.267,46,87
16,59272,59.068,38,113
17,54730,79.780,53,130
18,46205,83.276,56,207
19,50150,82.138,58,158
20,68378,60.435,37,154
21,59314,67.541,50,97
22,80421,84.364,52,203
23,60637,70.581,47,116
24,56117,82.623,59,127
25,62343,85.626,57,203
26,62330,80.529,56,144
27,78582,87.764,61,205
28,77301,104.302,73,203
