 ,Area,Mean,Min,Max
1,64116,85.678,47,216
2,85518,94.790,48,225
3,54168,62.240,37,146
4,32288,65.311,46,112
5,46326,58.400,39,107
6,47340,85.699,44,224
7,42617,59.660,41,103
8,45208,58.781,42,94
9,48277,75.071,44,190
10,43766,60.085,40,136
11,50804,59.461,35,120
12,44161,57.971,39,102
13,46300,54.057,38,82
14,44106,59.603,43,96
15,43953,58.829,42,105
16,40511,57.441,38,144
17,37617,58.486,42,95
18,42927,70.726,49,119
19,47519,70.337,48,131
20,38133,68.719,48,121
21,50585,71.911,49,153
22,47920,64.469,44,127
23,37899,66.887,46,105
24,51480,69.056,46,151
25,46337,64.273,45,137
26,45574,66.439,46,120
27,42242,58.289,39,138
28,84989,52.393,31,144
29,65485,66.682,39,154
30,43314,61.920,41,95
31,48608,56.906,35,132
32,42435,59.991,41,91
33,35637,63.020,45,98
34,44967,57.965,36,101
