 ,Area,Mean,Min,Max
1,111832,106.190,64,240
2,92783,104.072,65,196
3,99423,115.762,69,252
4,79193,110.525,68,227
5,115279,108.349,60,252
6,87102,125.302,77,251
7,88436,112.284,73,226
8,68391,102.064,69,246
9,65346,73.100,48,185
10,48531,72.905,47,204
11,52519,83.785,57,174
12,79500,83.891,51,194
13,67923,66.316,41,171
14,100177,77.562,45,218
15,96834,95.715,54,223
16,67628,94.130,60,207
17,65765,89.650,53,199
18,70793,85.568,54,171
19,84332,90.812,57,200
20,95191,75.737,44,210
21,94373,101.452,56,226
22,91060,96.672,56,204
23,94093,76.373,44,210
24,104644,98.932,55,201
25,84872,86.287,51,207
26,119360,83.196,48,192
27,88506,86.275,54,172
28,84906,90.142,53,196
29,118326,74.895,40,181
30,93922,102.365,55,222
31,98327,88.856,50,189
32,81637,106.118,66,194
33,86744,101.262,60,219
34,127246,85.411,45,214
