 ,Area,Mean,Min,Max
1,26943,62.808,45,116
2,34248,59.745,45,115
3,23896,63.105,48,95
4,31529,62.798,47,107
5,45041,54.594,38,92
6,31186,62.603,44,92
7,33377,52.541,38,86
8,37120,54.500,40,81
9,41413,54.558,37,104
10,53387,59.277,45,97
11,98920,75.836,44,210
12,56794,56.176,42,91
13,32622,57.787,44,129
14,48747,61.350,44,119
15,53136,62.075,45,160
16,50888,59.417,42,120
17,32233,54.503,42,86
18,41621,55.938,43,139
19,38855,58.719,45,90
20,48527,73.263,51,221
21,45519,61.426,47,107
22,40896,64.953,46,186
23,48871,64.299,46,103
24,111134,75.680,48,212
25,36500,61.434,47,105
26,48091,60.260,43,140
27,31780,65.368,45,108
28,38421,57.946,38,105
29,36730,53.043,37,99
30,33426,60.495,44,88
31,41781,51.910,37,85
32,44044,53.363,36,107
33,34567,62.251,45,90
34,42605,63.550,45,88
