 ,Area,Mean,Min,Max
1,49683,48.287,32,122
2,50714,57.110,37,114
3,50364,46.047,31,86
4,46304,50.734,36,119
5,53151,60.564,37,151
6,51953,48.205,34,108
7,51143,50.712,34,137
8,61909,51.502,34,95
9,52495,51.289,34,100
10,57365,52.082,35,112
11,41390,45.816,27,84
12,52848,45.493,30,106
13,54882,52.624,32,158
14,51741,48.476,31,127
15,51379,48.951,33,119
16,59318,50.554,33,112
17,49049,45.841,32,84
18,52802,50.936,35,102
19,47614,48.088,32,96
20,51687,49.813,34,92
21,45558,50.187,34,101
22,53767,49.825,33,100
23,46901,51.336,35,87
24,56758,53.210,34,118
25,49680,45.856,30,113
26,59652,42.043,28,82
27,77063,35.101,21,61
28,47687,44.229,29,122
29,59437,49.272,33,103
30,59341,48.641,33,102
31,57936,43.715,27,101
32,57310,50.595,34,93
33,58842,45.788,31,97
