 ,Area,Mean,Min,Max
1,91252,65.322,36,187
2,67180,59.214,42,123
3,71559,69.046,41,176
4,66370,57.706,36,163
5,57252,53.349,36,95
6,71440,59.308,38,184
7,63873,64.749,38,140
8,86530,52.287,29,159
9,78204,51.873,32,154
10,81189,44.836,27,94
11,82351,45.674,28,98
12,80842,48.388,31,108
13,74790,42.177,25,96
14,79247,44.048,27,121
15,79399,41.808,25,128
16,62874,39.926,25,84
17,73626,55.728,39,159
18,70442,51.703,34,154
19,74044,46.080,29,123
20,72255,49.293,32,104
21,63093,52.699,35,101
22,66785,52.555,34,95
23,78456,54.560,33,124
24,84822,59.233,35,153
25,70752,45.606,27,88
26,88787,45.585,25,132
27,59342,55.883,39,118
28,65945,51.693,33,133
29,60870,62.481,38,201
30,61751,50.950,33,146
31,65716,45.826,31,94
32,70177,50.900,34,118
33,57834,61.163,40,125
34,74991,50.714,35,117
