InitialCells,Day,N,MeanArea,StdArea,MeanGrayMean,StdGrayMean,MeanGrayStdDev,StdGrayStdDev,MeanGrayMode,StdGrayMode,MeanGrayMin,StdGrayMin,MeanGrayMax,StdGrayMax,MeanCentroidX,StdCentroidX,MeanCentroidY,StdCentroidY,MeanCenterMassX,StdCenterMassX,MeanCenterMassY,StdCenterMassY,MeanPerimeter,StdPerimeter,MeanWidth,StdWidth,MeanHeight,StdHeight,MeanMajor,StdMajor,MeanMinor,StdMinor,MeanAngle,StdAngle,MeanCircularity,StdCircularity,MeanFeret,StdFeret,MeanIntDen,StdIntDen,MeanMedian,StdMedian,MeanSkew,StdSkew,MeanKurt,StdKurt,MeanRawIntDen,StdRawIntDen,MeanMinFeret,StdMinFeret,MeanAspectRatio,StdAspectRatio,MeanRound,StdRound,MeanSolidity,StdSolidity,MeanRadius,StdRadius,MeanEllipseArea,StdEllipseArea,MeanCircularity_calc,StdCircularity_calc,MeanIntDen_calc,StdIntDen_calc
500,1,17,88588.23529411765,21613.212462315183,147.14705882352942,17.042487994973722,14.557411764705884,2.7463181502427827,143.94117647058823,15.208840308498598,97.0,15.471748446765801,204.88235294117646,29.49763200864854,589.6941176470588,73.65742045602258,580.2411764705882,39.283028441419994,589.7705882352941,74.01211695312027,580.7352941176471,39.507403438730165,1282.7588235294118,197.45455508427608,365.9117647058824,76.57925536946136,362.22941176470584,68.52464670381272,393.23529411764713,65.81223234681063,284.13529411764705,37.68544051050204,95.79058823529412,51.69319399962004,0.6741941176470588,0.06853993790656142,423.0176470588235,68.53386239019108,13113470.588235294,3741226.9397492963,146.41176470588235,16.553167459467584,0.05716429411764706,0.23941646225974225,2.2451017647058826,1.44791844838649,2613294.117647059,745497.465178947,304.1411764705882,45.11531140898189,1.395470588235294,0.24039033821242142,0.7352176470588235,0.11650430912252838,0.9150941176470588,0.029997718050466676,166.62054788899056,21.5258129241427,88583.6834788144,21608.38124063823,0.674184219303824,0.06852218662400113,13112358.235294119,3740042.4260708685
500,2,29,104268.96551724138,15437.043653134122,101.43620689655172,5.629760470540912,13.03103448275862,1.3500379487459557,96.06896551724138,5.209407935119188,62.241379310344826,8.71228677711538,160.0,8.340948901139999,593.4275862068966,72.72506394709029,609.8793103448276,112.5194788828975,594.4137931034483,73.01815197087214,611.1275862068965,111.96684744203696,1322.0,121.01534731476949,385.7413793103448,57.48077639674341,394.55517241379306,46.829055283223596,425.33103448275864,51.20910286998561,312.2724137931035,27.761727207379334,84.14699999999999,50.630898078996324,0.7497689655172415,0.0513417896026805,443.9482758620689,50.10015412500997,10569172.413793104,1620704.9848085404,99.89655172413794,5.709295850917212,0.49815758620689654,0.16757774962376576,0.9831241379310346,0.8272475625553058,2106275.8620689656,322869.157106772,325.1586206896552,31.86505606506219,1.3738275862068965,0.22088766844024027,0.7445620689655171,0.10940319730830898,0.9415586206896552,0.01752790667236881,181.71150755752836,13.299229913910986,104265.37068565651,15438.34394467086,0.7498238436412926,0.05143165381873639,10568433.827586208,1620306.2839376791
500,3,35,104506.85714285714,21209.48577619826,107.38685714285715,4.7347866412136375,14.975428571428571,1.2535064768061464,103.05714285714286,6.885376050830088,62.4,5.157518783291051,174.4,8.4894398069186,551.3714285714285,47.114557332156295,567.52,80.00937371554,551.3342857142858,47.68452667305835,567.5028571428572,80.24330826310943,1337.142857142857,163.57066162529821,386.4942857142857,74.59049357051096,396.47999999999996,52.92972477451476,429.6857142857143,67.20778641364294,309.1771428571429,39.90440846731161,103.89171428571429,45.973230605091345,0.7322885714285715,0.06993895141028172,450.36,64.42217466241956,11191228.57142857,2184520.045358117,105.97142857142858,4.967457121314772,0.44483485714285714,0.1398283096256731,0.5815771428571429,0.4322821070208899,2230257.1428571427,435349.84869217826,323.9114285714286,41.53362756234272,1.4121714285714286,0.2844135851097096,0.7346600000000001,0.13827701352932179,0.9355400000000001,0.01897958965650764,181.40699395318595,19.172124495110765,104512.88468421284,21210.166203161076,0.732357739206734,0.06994154413223266,11190793.18,2184558.727531037
500,6,32,189646.875,27537.516747685007,115.19062500000001,6.580830390538283,16.63875,1.2732806243664812,113.1875,6.77013127046698,69.84375,8.390122360597994,188.46875,8.762030899504461,564.46875,67.19713145519273,597.1500000000001,94.63189123498313,565.6593750000001,67.66718773800909,597.3843750000001,94.94549237419025,1705.46875,138.09276554244718,516.4625000000001,66.3386315223495,508.275,61.7813000207835,555.45625,59.24585700773214,434.734375,45.39423445964717,77.82793749999999,53.436656212957175,0.81728125,0.04664810916542789,578.978125,60.13971761723399,21752812.5,2737281.715409674,114.5,6.410676578454757,0.28536937500000004,0.15705647369220102,0.304445625,0.5225488523292005,4335375.0,545489.1116857806,444.296875,44.22825315356835,1.29109375,0.19896966203743302,0.790803125,0.11053699857710758,0.9667281249999999,0.009775883241178842,245.04896575094344,18.1030621043253,189648.39044700417,27532.89482294112,0.8172236643066282,0.046663440959241076,21753072.1875,2737339.958604425
500,7,37,220854.05405405405,36464.1269270574,115.3081081081081,6.218135589564625,16.880000000000003,1.532224236563014,111.8108108108108,5.621574699503878,71.4054054054054,7.729666729409991,197.24324324324326,12.113824530046024,587.3945945945945,79.10914382444443,590.1162162162161,111.74813076615523,592.0189189189189,81.00137460369231,589.2135135135135,112.38314712071715,1756.3243243243244,152.21221553659404,540.3918918918919,57.878807186407364,557.8162162162162,78.64055185714552,591.8702702702703,62.1049777252859,473.80270270270273,51.074039320309225,101.48540540540539,49.14732882956184,0.8949297297297296,0.0358343012649493,606.6216216216217,58.79571571284923,25322972.972972974,3438630.916888665,114.08108108108108,5.823221609204815,0.3497881081081082,0.2017105001789258,1.1179297297297297,0.5481362203285202,5046945.945945946,685170.7794389636,477.0432432432432,48.90737583853187,1.2604324324324325,0.1792658702939638,0.8054756756756756,0.08989965518845443,0.9818189189189191,0.005534981573683967,264.2603852021685,21.896011821739272,220854.77420562893,36473.03002785018,0.8949910736461725,0.03582673400702672,25324377.837837838,3438844.883951372
500,10,38,333026.3157894737,53014.443132549626,96.01447368421051,5.945931471759184,18.785526315789475,1.6782917592059172,92.02631578947368,11.869759081562632,55.31578947368421,6.054282661808531,192.1315789473684,15.355553714274755,548.5368421052631,73.7836223717616,549.1947368421052,107.73750118106364,551.1368421052631,75.26228523601559,545.9894736842106,109.07201882979612,2123.1315789473683,175.94258446968425,669.8736842105263,65.58554011782041,663.2763157894736,75.07159622009324,705.4236842105263,70.18291712610707,599.9526315789473,66.28543004409691,73.83305789473687,51.586484631285494,0.9237684210526312,0.03611471292051809,720.5894736842107,71.3328618765523,31985789.47368421,5403029.99655471,95.15789473684211,6.029326150280647,0.4616178947368421,0.2234383542308572,0.509886052631579,0.6522020141549556,6374815.7894736845,1076670.364251505,604.2394736842105,63.711213063210266,1.1882105263157896,0.17466835878852724,0.8561105263157895,0.10363211385153312,0.9859263157894738,0.0055512201829150485,324.5684943559165,26.052298531234282,333033.83373181755,53020.12495428557,0.9237266535035374,0.03615335350326965,31986430.47368421,5401925.806783529
500,13,28,335375.0,57474.58456022427,89.51357142857141,8.847645099659221,22.487142857142857,2.7285321751241693,72.42857142857143,18.5221160526756,47.892857142857146,8.828989647805585,197.32142857142858,12.843945313529296,565.7964285714286,75.37219490336116,576.4285714285713,86.30620705176064,571.3857142857142,75.17753168228703,576.8249999999999,88.61273892618374,2146.3571428571427,197.5350347333099,651.4464285714286,82.69685148802067,684.3964285714286,61.18936292298388,698.2928571428572,62.604176458547144,608.1785714285716,68.09065502392602,80.21039285714286,43.889688224793495,0.9083571428571429,0.02789233836885212,717.6357142857142,65.12692572988882,29856428.57142857,5169066.263044616,87.35714285714286,10.24230256850294,0.6614785714285715,0.2738759469880923,0.5238187142857142,0.8118663734112377,5950500.0,1030196.1877162937,612.6,66.99719728797947,1.1571785714285716,0.1229025671224609,0.872775,0.08428133497949547,0.9818285714285714,0.004674902030493154,325.46342910834454,29.28061106295358,335366.43397539406,57464.398667998925,0.9084071419201445,0.027881071550161497,29857447.25,5169726.154751545
500,17,40,305852.5,64919.13702879993,88.91125,13.925556323187108,19.951975,3.52315485432646,71.725,16.028800201432293,53.55,10.099377995571603,206.175,23.077225425369782,562.3425,75.16597664416923,569.225,99.97376771318179,563.1625,77.72832268507983,570.3549999999999,100.96680833132928,2035.525,215.54665001649488,642.9375,73.07856568666706,633.8,83.27618245394396,681.1500000000001,77.6101301873171,567.6625,77.40122137610504,98.2204,54.32698116500275,0.9183425,0.048928869814068375,693.0775,78.54493565257195,27098000.0,6942438.498661137,85.925,14.625912200348656,0.9053699999999999,0.33109245528812326,1.39043175,1.1658478718212733,5400550.0,1383565.2746548569,571.0,77.08716012676986,1.213625,0.16808723124524455,0.8371850000000001,0.09920071998808197,0.9870325,0.0085532536169517,310.28855966373465,33.233967884785756,305845.80145207426,64916.0799314032,0.918399533544104,0.048946501905383445,27098321.85,6943698.247541094
500,21,27,299492.5925925926,80994.42015883622,96.81074074074074,9.92410272089194,20.759999999999998,3.4031602959602125,77.77777777777777,10.800047483276433,60.629629629629626,7.696893220135332,202.96296296296296,21.706931685313865,594.2555555555556,54.70818623410614,541.2851851851852,89.77888094862546,596.5222222222222,54.60657422616757,541.4962962962964,88.59610809945531,1998.3333333333333,277.1085596768058,608.1111111111111,94.20510901274179,636.0777777777779,86.82056798732098,648.7777777777778,88.47312209554569,577.3703703703704,94.75339577765016,94.78370370370372,42.729042559630074,0.9225629629629629,0.03206938569064737,663.8814814814815,90.28344697518365,28998333.333333332,7991287.202562936,93.25925925925925,10.453533052339447,0.7821222222222223,0.25689243383973487,0.925515185185185,1.1079095131246413,5779074.074074074,1592583.3857151219,577.2925925925925,94.83183872164261,1.1347777777777777,0.1162131110481394,0.8893074074074073,0.0821861392296869,0.9884666666666666,0.006687358912961773,305.69857235191375,44.182997914284094,299490.1240980348,80992.01862697426,0.922651575704428,0.03214261015864013,28996424.259259257,7991792.269010884
2000,1,27,207370.37037037036,26024.527111861444,129.8325925925926,26.426691866746076,15.505185185185182,2.2771952559273956,124.25925925925925,26.53530680287129,82.85185185185185,17.838384938328282,204.22222222222223,30.578188975569518,600.1037037037037,62.340408437998896,627.1851851851852,93.66329920643207,601.4962962962962,62.78663798000263,628.4407407407408,93.13566308290147,1808.8148148148148,152.72374180375922,553.6074074074074,66.52491682373272,531.7962962962963,52.23451910140444,578.8148148148148,49.83481717483273,457.14074074074074,49.43763950099356,109.3125925925926,56.99710172068756,0.7992037037037039,0.0772428561868917,596.1740740740742,42.849159336449716,26945555.555555556,6745236.115690114,128.11111111111111,26.55956054625634,0.5580481481481482,0.2804989021922441,1.513540740740741,1.074395107189751,5370111.111111111,1344489.1318419147,469.85555555555555,48.013734680284124,1.289333333333333,0.25320879192415957,0.7970629629629629,0.11831909641092843,0.953037037037037,0.02410328972357456,256.40735577634763,16.535842358511275,207365.95640441266,26007.00766513313,0.7992316871416277,0.07723952525525762,26944902.444444444,6747236.941830458
