 ,Area,Mean,Min,Max
1,78550,85.253,49,200
2,69302,79.963,44,148
3,55517,79.737,44,147
4,57183,74.958,46,177
5,79789,84.665,48,208
6,63274,85.638,47,219
7,99159,80.621,34,216
8,61173,66.807,41,185
9,71633,88.269,51,181
10,90339,92.825,49,198
11,61553,90.474,48,164
12,106301,94.512,50,174
13,73819,90.774,53,198
14,72910,95.287,52,177
15,82915,94.469,52,192
16,64565,88.621,47,220
17,64189,92.370,54,172
18,61908,81.905,48,164
19,74383,87.943,46,204
20,66241,74.299,43,154
21,57367,73.284,43,185
22,60257,80.416,43,179
23,61006,75.284,41,174
24,59664,74.929,44,186
25,60458,78.244,46,150
26,78445,74.779,40,206
27,67877,72.556,44,173
28,68860,83.321,48,182
29,49244,71.170,45,141
30,56360,74.690,42,210
31,66883,73.965,45,191
32,56992,80.110,49,196
33,54743,75.181,43,176
34,77216,59.422,34,162
