 ,Area,Mean,Min,Max
1,46627,71.340,45,133
2,48772,64.616,43,160
3,48655,70.622,43,126
4,54678,62.684,40,143
5,51241,65.138,40,141
6,52360,72.094,43,190
7,51441,60.063,39,107
8,48284,64.453,38,122
9,58369,55.101,34,103
10,54205,56.553,33,111
11,44899,51.127,31,135
12,58207,55.108,33,120
13,55903,54.876,33,105
14,53117,49.233,30,99
15,54013,53.064,33,96
16,58412,62.647,33,172
17,60488,55.603,33,115
18,49105,60.671,40,104
19,51340,62.614,37,143
20,52527,63.916,41,153
21,53645,63.272,38,138
22,50159,63.255,39,131
23,53347,62.339,39,174
24,57491,59.101,33,136
25,56633,65.476,41,166
26,55679,60.588,37,157
27,48191,59.667,36,158
28,49284,56.005,35,144
29,49587,57.809,34,111
30,59589,59.626,34,133
31,53731,58.197,35,158
32,58589,57.756,34,126
33,53651,58.025,37,139
34,58448,60.991,36,139
35,61309,61.403,34,175
36,54444,55.304,35,121
