 ,Area,Mean,Min,Max
1,110330,72.878,40,215
2,106665,70.336,40,167
3,74163,84.499,44,205
4,66721,79.055,45,206
5,66698,82.075,43,218
6,63693,70.568,37,210
7,62156,89.612,48,209
8,57478,84.511,51,198
9,98403,58.535,28,184
10,87782,72.325,37,188
11,122776,71.878,36,195
12,103598,91.119,42,185
13,82691,77.098,37,204
14,87871,66.514,35,170
15,49330,76.524,50,175
16,52753,67.701,45,129
17,62772,64.277,35,134
18,60655,81.358,51,184
19,54288,114.928,76,204
20,64457,74.687,46,197
21,68284,92.856,51,199
22,64373,81.028,49,177
23,71786,72.384,44,170
24,82739,65.656,39,133
25,56773,70.836,43,129
26,54000,74.082,47,151
27,48257,78.442,51,186
28,53100,63.644,39,134
29,64960,84.016,52,206
30,52409,100.187,67,186
31,72821,71.488,46,187
32,63536,78.287,44,199
33,41102,74.048,44,194
34,60656,73.385,45,228
35,56563,76.078,44,214
36,42518,65.760,39,170
37,78406,70.004,39,187
38,83742,83.536,49,246
39,52158,62.996,39,155
