 ,Area,Mean,Min,Max
1,46069,70.406,46,182
2,39253,60.246,44,142
3,56886,69.520,47,155
4,70987,72.456,45,219
5,50985,67.415,46,162
6,67608,68.789,46,202
7,63776,73.522,43,207
8,48817,65.048,43,128
9,62097,68.027,44,171
10,90373,68.452,44,145
11,104780,70.839,41,163
12,112286,65.260,36,166
13,69037,72.705,46,167
14,61642,70.655,44,146
15,80653,68.370,43,190
16,76821,72.363,47,166
17,55977,74.126,50,135
18,56714,71.545,43,184
19,50919,71.650,44,148
20,79007,71.552,44,180
21,51574,72.878,42,189
22,59343,74.972,44,205
23,48789,74.550,49,157
24,76183,83.237,46,232
25,57137,79.179,47,222
26,60976,74.881,49,176
27,47397,80.887,49,156
28,53105,71.494,45,136
29,39928,74.999,49,216
30,58288,78.908,46,182
31,67747,75.508,46,200
32,53526,75.951,49,198
33,56397,80.779,51,226
